Chr,Start,End,Geneid,Cluster
NC_000072.7,122898807,122899038,Clec4a1,478
NC_000072.7,123026921,123027081,Clec4b1,479
NC_000072.7,123099627,123099711,Clec4a2,479
NC_000072.7,123206802,123207002,Clec4n,480
NC_000072.7,124281596,124281744,Cd163,481
NC_000072.7,127538299,127538384,Cracr2a,482
NC_000072.7,127864585,127864841,Tspan11,483
NC_000072.7,127905584,127906164,Gm38903,483
NC_000072.7,128204106,128205442,Tead4,484
NC_000072.7,128639348,128639495,Clec2h,485
NC_000072.7,128911344,128911445,Clec2g,486
NC_000072.7,129327207,129327474,Clec12a,487
NC_000072.7,131276096,131277554,Styk1,488
NC_000072.7,132572874,132572972,Prp2,489
NC_000072.7,132602074,132602178,A630073D07Rik,489
NC_000072.7,133269179,133269277,5530400C23Rik,490
NC_000072.7,133506152,133506250,Gm5885,491
NC_000072.7,133678149,133678160,Gm46987,492
NC_000072.7,133740961,133741054,Gm5886,492
NC_000072.7,134285914,134286052,4933406J09Rik,493
NC_000072.7,134373292,134373382,Bcl2l14,493
NC_000072.7,134677283,134682266,Gm57779,494
NC_000072.7,135339548,135339705,Emp1,495
NC_000072.7,136674282,136675037,Gucy2c,496
NC_000072.7,136849433,136849786,Mgp,497
NC_000072.7,137031822,137033538,Rerg,498
NC_000072.7,137960584,137961464,Slc15a5,499
NC_000072.7,138339916,138343045,Lmo3,500
NC_000072.7,138400103,138400363,A830011K09Rik,500
NC_000072.7,139591070,139591081,Pik3c2g,501
NC_000072.7,142031487,142032330,Slco1a6,502
NC_000072.7,142176052,142176202,Gm53313,503
NC_000072.7,142533592,142536229,Abcc9,504
NC_000072.7,143774151,143779293,Sox5,505
NC_000072.7,143926160,143930577,Gm52485,506
NC_000072.7,145061357,145061457,Irag2,507
NC_000072.7,149059075,149059329,Amn1,508
NC_000072.7,149251015,149251828,Gm38930,509
NC_000073.7,3715504,3715829,Pirb,510
NC_000073.7,4693635,4694214,Brsk1,511
NC_000073.7,4775372,4776736,Il11,511
NC_000073.7,6706891,6714730,Peg3,512
NC_000073.7,15980668,15983015,C5ar1,513
NC_000073.7,17021443,17021768,Gm32772,514
NC_000073.7,25099478,25099869,Cxcl17,515
NC_000073.7,25588082,25588346,Gm51461,516
NC_000073.7,25597083,25597280,Cyp2b10,516
NC_000073.7,25872775,25873029,Cyp2b9,517
NC_000073.7,26006617,26006822,Cyp2a4,518
NC_000073.7,27770661,27770677,Fcgbp,519
NC_000073.7,28240310,28240729,Sycn,520
NC_000073.7,28988732,28988960,Ppp1r14a,521
NC_000073.7,30054939,30055528,Lrfn3,522
NC_000073.7,30113207,30113324,Tyrobp,522
NC_000073.7,30134405,30134816,Aplp1,522
NC_000073.7,30411634,30411687,Atp4a,523
NC_000073.7,30621797,30622037,Hamp2,524
NC_000073.7,30775774,30775822,Gm53358,525
NC_000073.7,30798150,30798498,Hpn,525
NC_000073.7,30815949,30816561,Scn1b,525
NC_000073.7,34373893,34375669,Chst8,526
NC_000073.7,34900303,34902094,Lrp3,527
NC_000073.7,35056630,35058208,Gm51476,528
NC_000073.7,35384925,35390367,Dpy19l3,529
NC_000073.7,43578829,43578882,Klk15,530
NC_000073.7,43594495,43594535,Klk1b7-ps,530
NC_000073.7,43600090,43600160,Klk1b8,530
NC_000073.7,43616175,43616256,Klk1b1,530
NC_000073.7,43625485,43625566,Klk1b9,530
NC_000073.7,43645301,43645374,Klk1b11,530
NC_000073.7,43654040,43654108,Klk1b21,530
NC_000073.7,43662102,43662189,Klk1b26,530
NC_000073.7,43701714,43701810,Klk1b27,530
NC_000073.7,43762097,43762171,Klk1b22,530
NC_000073.7,43771678,43771762,Klk1b16,530
NC_000073.7,43837658,43837742,Klk1b24,530
NC_000073.7,43847615,43847716,Klk1b3,530
NC_000073.7,43856857,43856923,Klk1b4,530
NC_000073.7,43865898,43865970,Klk1b5,530
NC_000073.7,43874784,43874907,Klk1,530
NC_000073.7,43879353,43880065,1700028J19Rik,530
NC_000073.7,43896135,43896232,2410002F23Rik,530
NC_000073.7,43899279,43899362,Snord88c,530
NC_000073.7,43899574,43899645,Snord88a,530
NC_000073.7,43899874,43899966,Gm23991,530
NC_000073.7,43910865,43910958,Gm15517,530
NC_000073.7,44133941,44134411,5430431A17Rik,531
NC_000073.7,44236405,44236890,Kcnc3,532
NC_000073.7,45354658,45355186,Dbp,533
NC_000073.7,45370595,45372078,Fam83e,533
NC_000073.7,45844774,45845158,Ush1c,534
NC_000073.7,48987242,48987507,Gm51448,535
NC_000073.7,49625098,49625191,Nell1,536
NC_000073.7,51511560,51512096,Gas2,537
NC_000073.7,67379909,67386654,Synm,538
NC_000073.7,69828616,69828948,Gm29683,539
NC_000073.7,71727575,71730605,Mctp2,540
NC_000073.7,71956610,71956787,Gm39035,541
NC_000073.7,73390055,73390576,Fam174b,542
NC_000073.7,73925166,73925836,Slco3a1,543
NC_000073.7,78561136,78564322,Isg20,544
NC_000073.7,78783516,78784294,Mfge8,545
NC_000073.7,79441989,79442339,Mesp1,546
NC_000073.7,80996774,80998187,Cpeb1,547
NC_000073.7,81250229,81260189,Homer2,548
NC_000073.7,86365733,86369056,Folh1,549
NC_000073.7,86893638,86896110,Nox4,550
NC_000073.7,89156988,89160078,Prss23,551
NC_000073.7,89281492,89281777,Me3,552
NC_000073.7,89289115,89290885,Gm53381,552
NC_000073.7,95550262,95550321,Tenm4,553
NC_000073.7,97437748,97438181,Pak1,554
NC_000073.7,97792566,97794654,Omp,555
NC_000073.7,98802870,98803907,Dgat2,556
NC_000073.7,98868291,98869166,Mogat2,556
NC_000073.7,99112328,99115311,Klhl35,557
NC_000073.7,99273274,99276310,Tpbgl,558
NC_000073.7,99508425,99508437,Xrra1,559
NC_000073.7,99518476,99519631,Gm38405,559
NC_000073.7,99655611,99655854,Chrdl2,560
NC_000073.7,99805245,99807338,Gm51452,561
NC_000073.7,99825714,99825783,Kcne3,561
NC_000073.7,101070905,101071202,Pde2a,562
NC_000073.7,103912593,103915172,Trim5,563
NC_000073.7,105472464,105480726,Gvin-ps1,564
NC_000073.7,108878270,108879063,Stk33,565
NC_000073.7,109037825,109039389,1700095J03Rik,566
NC_000073.7,109048208,109053241,Trim66,566
NC_000073.7,110449814,110451565,Lyve1,567
NC_000073.7,111070863,111071290,Galnt18,568
NC_000073.7,111715226,111717637,Dkk3,569
NC_000073.7,112037650,112059166,Gm45998,570
NC_000073.7,115880740,115881072,Gm44867,571
NC_000073.7,116103579,116103719,Nucb2,572
NC_000073.7,116146135,116148599,4732496C06Rik,572
NC_000073.7,119041760,119042062,Gp2,573
NC_000073.7,119217035,119217120,Acsm1,574
NC_000073.7,119360106,119360205,Acsm3,575
NC_000073.7,120663290,120664740,Igsf6,576
NC_000073.7,121464261,121464360,Scnn1b,577
NC_000073.7,121807839,121807921,Chp2,578
NC_000073.7,125307027,125307120,Katnip,579
NC_000073.7,125477584,125480410,Gsg1l,580
NC_000073.7,126184092,126184240,Apobr,581
NC_000073.7,126649328,126649771,Zg16,582
NC_000073.7,127236286,127236480,Gm51458,583
NC_000073.7,127290835,127291201,Gm39090,583
NC_000073.7,129764181,129765853,Fgfr2,584
NC_000073.7,130910283,130910642,Cuzd1,585
NC_000073.7,133867509,133868380,D7Ertd443e,586
NC_000073.7,134483637,134486320,Insyn2a,587
NC_000073.7,135087650,135087892,Gm36356,588
NC_000073.7,138791548,138793268,Lrrc27,589
NC_000073.7,139474612,139475204,Kndc1,590
NC_000073.7,139777131,139777167,Scart1,591
NC_000073.7,140414936,140415171,Urah,592
NC_000073.7,140478855,140479002,Cox8b,592
NC_000073.7,140595725,140596072,Ifitm6,593
NC_000073.7,140848993,140849524,Cdhr5,594
NC_000073.7,141006359,141007916,Cend1,595
NC_000073.7,141276583,141276687,Muc2,596
NC_000073.7,141929647,141930475,Ctsd,597
NC_000073.7,142129267,142129851,H19,598
NC_000073.7,142766848,142850284,Kcnq1ot1,599
NC_000073.7,143012076,143012758,Cdkn1c,600
NC_000073.7,143055282,143055553,Phlda2,600
NC_000073.7,143219544,143222329,Tnfrsf23,601
NC_000073.7,143332100,143335550,Mrgpre,602
NC_000074.7,3967655,3968827,Cd209b,603
NC_000074.7,3990081,3990430,Cd209c,603
NC_000074.7,4152784,4153822,Cd209f,604
NC_000074.7,4184246,4184260,Cd209g,604
NC_000074.7,15059408,15061478,Kbtbd11,605
NC_000074.7,22224510,22224724,Defa24,606
NC_000074.7,41379270,41379462,Pdgfrl,607
NC_000074.7,47633083,47639607,Stox2,608
NC_000074.7,47776577,47776671,Gm39171,609
NC_000074.7,48552127,48552176,Dctd,610
NC_000074.7,58225523,58230383,Galntl6,611
NC_000074.7,58252902,58253219,Gm2921,611
NC_000074.7,62073145,62083552,Gm35254,612
NC_000074.7,64466132,64469214,Tll1,613
NC_000074.7,64657515,64658163,Gm53436,614
NC_000074.7,65045576,65046255,Cpe,615
NC_000074.7,65538265,65539315,Smim31,616
NC_000074.7,66070558,66070834,Marchf1,617
NC_000074.7,68809433,68811365,Csgalnact1,618
NC_000074.7,70826186,70826297,Comp,619
NC_000074.7,71068810,71068937,Lrrc25,620
NC_000074.7,71335529,71336612,Slc5a5,621
NC_000074.7,72006947,72007786,Tmem221,622
NC_000074.7,72204674,72206639,Gm35572,623
NC_000074.7,72212635,72212644,LOC118567536,623
NC_000074.7,73325033,73326071,Tmem38a,624
NC_000074.7,75940572,75940706,Rasd2,625
NC_000074.7,81220674,81220716,Gypa,626
NC_000074.7,81337668,81342863,Frem3,627
NC_000074.7,85431341,85435306,Nfix,628
NC_000074.7,85809941,85810117,Man2b1,629
NC_000074.7,85833797,85837671,Zfp791,629
NC_000074.7,86219090,86219318,Gpt2,630
NC_000074.7,90973665,90975645,Tox3,631
NC_000074.7,92332146,92351381,LOC118567558,632
NC_000074.7,92542727,92550702,Gm39223,633
NC_000074.7,94910301,94911946,LOC118567560,634
NC_000074.7,95159755,95160774,9330175E14Rik,635
NC_000074.7,95160963,95161061,Nlrc5,635
NC_000074.7,95743742,95744448,Adgrg3,636
NC_000074.7,106016227,106017194,LOC102636360,637
NC_000074.7,106194124,106194656,Tppp3,638
NC_000074.7,109279884,109280255,Lncbate1,639
NC_000074.7,112071770,112073153,Fa2h,640
NC_000074.7,112413142,112413380,Ctrb1,641
NC_000074.7,115166377,115166618,Wwox,642
NC_000074.7,115313935,115318360,Gm16116,643
NC_000074.7,115336070,115338577,Gm30554,643
NC_000074.7,116429992,116433633,Maf,644
NC_000074.7,120893136,120893436,Cibar2,645
NC_000074.7,121463097,121463148,Irf8,646
NC_000074.7,122145366,122145437,Gm26747,647
NC_000074.7,122325442,122329070,Zcchc14,648
NC_000074.7,122578604,122578719,Gm26812,649
NC_000074.7,122607885,122609834,Slc7a5,649
NC_000074.7,122770009,122770437,Zfp469,650
NC_000074.7,125283326,125283860,Agt,651
NC_000074.7,125301361,125303096,Capn9,651
NC_000074.7,125658629,125673164,Gm46060,652
NC_000074.7,128168828,128173180,Gm9909,653
NC_000074.7,128201103,128224275,Gm51558,653
NC_000074.7,129989874,129990205,Gm32856,654
NC_000075.7,6168377,6168918,Pdgfd,655
NC_000075.7,8076461,8076947,Cep126,656
NC_000075.7,13493696,13510802,Gm51666,657
NC_000075.7,15150649,15157284,Gm51702,658
NC_000075.7,15438451,15439424,Gm51703,659
NC_000075.7,15444928,15450172,Gm46152,659
NC_000075.7,15621034,15621133,Slc36a4,660
NC_000075.7,22010501,22010714,Cnn1,661
NC_000075.7,22038023,22038558,Acp5,661
NC_000075.7,25392809,25393192,Eepd1,662
NC_000075.7,31336445,31338252,Tmem45b,663
NC_000075.7,34396850,34396973,Kirrel3,664
NC_000075.7,34734543,34742035,Gm33561,665
NC_000075.7,34771397,34771522,Kirrel3os,665
NC_000075.7,34957872,34958815,St3gal4,666
NC_000075.7,34966072,34966142,Gm51705,666
NC_000075.7,35028024,35028136,4930581F22Rik,666
NC_000075.7,35028496,35028584,Gm57537,666
NC_000075.7,35101383,35101525,Gm39318,666
NC_000075.7,35332836,35332898,Cdon,667
NC_000075.7,37140445,37142952,Slc37a2,668
NC_000075.7,37178758,37187861,Ccdc15,668
NC_000075.7,37223128,37223553,Gm34885,668
NC_000075.7,38664092,38664341,Or8b53,669
NC_000075.7,41460497,41468551,Gm51670,670
NC_000075.7,42162888,42167093,Sc5d,671
NC_000075.7,44035065,44036590,Gm10687,672
NC_000075.7,44045958,44046053,Mcam,672
NC_000075.7,45049922,45050400,Scn4b,673
NC_000075.7,45931619,45967536,Gm46110,674
NC_000075.7,46152142,46152500,Apoa4,675
NC_000075.7,47441468,47441803,Cadm1,676
NC_000075.7,51043396,51045134,Gm32742,677
NC_000075.7,54917401,54920213,Chrna3,678
NC_000075.7,57513685,57513993,Gm32392,679
NC_000075.7,57514080,57514563,Lman1l,679
NC_000075.7,58128433,58128537,Mir6385,680
NC_000075.7,58195006,58196200,Loxl1,680
NC_000075.7,59587116,59587199,Gramd2a,681
NC_000075.7,62149878,62150811,A730043L09Rik,682
NC_000075.7,65172462,65172505,Cilp,683
NC_000075.7,66065364,66065622,Dapk2,684
NC_000075.7,66415738,66419300,Fbxl22,685
NC_000075.7,66619026,66621215,Car12,686
NC_000075.7,66722276,66726743,Aph1c,687
NC_000075.7,66920090,66920281,Gm30639,688
NC_000075.7,66929872,66931847,Tpm1,688
NC_000075.7,68560627,68561254,Rora,689
NC_000075.7,68652033,68673665,Gm53536,689
NC_000075.7,69938777,69942620,Gcnt3,690
NC_000075.7,75317466,75318048,4933433G15Rik,691
NC_000075.7,77661817,77662241,Gclc,692
NC_000075.7,78238300,78238531,Gsta2,693
NC_000075.7,78443769,78445581,Slc17a5,694
NC_000075.7,83889527,83891566,Gm46124,695
NC_000075.7,85202492,85207286,Tent5a,696
NC_000075.7,88209662,88210083,Nt5e,697
NC_000075.7,89791565,89792326,Rasgrf1,698
NC_000075.7,94551945,94552289,Slc9a9,699
NC_000075.7,95634695,95636490,Pls1,700
NC_000075.7,96001379,96001665,Gk5,701
NC_000075.7,96613628,96613795,E030011O05Rik,702
NC_000075.7,97326448,97336796,Clstn2,703
NC_000075.7,98372590,98372735,Rbp2,704
NC_000075.7,101799327,101800793,Ephb1,705
NC_000075.7,104165439,104168728,Acp3,706
NC_000075.7,105566616,105566900,Col6a6,707
NC_000075.7,105733269,105734536,Col6a5,708
NC_000075.7,107973221,107977096,Bsn,709
NC_000075.7,108731239,108732015,Slc26a6,710
NC_000075.7,110450203,110450805,Nradd,711
NC_000075.7,110453857,110454294,Nbeal2,711
NC_000075.7,110483376,110484846,Ccdc12,711
NC_000075.7,110497393,110500152,Gm35715,711
NC_000075.7,111894159,111895090,Arpp21,712
NC_000075.7,120793520,120793674,Ulk4,713
NC_000075.7,121613082,121613306,Hhatl,714
NC_000076.7,7708087,7708105,Zc3h12d,715
NC_000076.7,18004123,18004894,Ect2l,716
NC_000076.7,18415871,18417080,Hebp2,717
NC_000076.7,18463759,18465520,Arfgef3,717
NC_000076.7,19723662,19725415,Slc35d3,718
NC_000076.7,21566744,21567136,Gm5420,719
NC_000076.7,21758083,21758606,Sgk1,720
NC_000076.7,22149373,22149428,H60b,721
NC_000076.7,23770586,23770989,Vnn1,722
NC_000076.7,24025182,24025300,Stx7,723
NC_000076.7,24471340,24471686,Ccn2,724
NC_000076.7,24513812,24517874,Enpp1,724
NC_000076.7,25867080,25870283,Tmem200a,725
NC_000076.7,28848284,28848675,2310057J18Rik,726
NC_000076.7,29074937,29075276,9330159F19Rik,727
NC_000076.7,31565314,31567683,Nkain2,728
NC_000076.7,40505933,40506087,Ddo,729
NC_000076.7,41414838,41415300,Ccdc162,730
NC_000076.7,41784284,41785372,Armc2,731
NC_000076.7,42738402,42738652,Gm34006,732
NC_000076.7,43844284,43845228,Gm40636,733
NC_000076.7,45211783,45211977,Bves,734
NC_000076.7,53780881,53783659,Man1a,735
NC_000076.7,63218222,63218297,Dnajc12,736
NC_000076.7,67370334,67370651,Egr2,737
NC_000076.7,67986936,67991963,Gm51770,738
NC_000076.7,75472453,75473204,Susd2,739
NC_000076.7,75773553,75775165,Gm867,740
NC_000076.7,76043060,76043627,Prmt2,741
NC_000076.7,77957155,77957495,Gm47922,742
NC_000076.7,79442688,79449172,C2cd4c,743
NC_000076.7,79453768,79455933,Shc2,743
NC_000076.7,79475352,79476213,Cimap1d,743
NC_000076.7,80157117,80157785,Pcsk4,744
NC_000076.7,80784463,80787580,Gng7,745
NC_000076.7,81228898,81228993,Smim24,746
NC_000076.7,81256627,81258254,Gm51811,746
NC_000076.7,83066712,83069614,Slc41a2,747
NC_000076.7,83320386,83326498,Aldh1l2,748
NC_000076.7,83558560,83558898,1500009L16Rik,749
NC_000076.7,86136276,86136838,Timp3,750
NC_000076.7,86526705,86526992,Hsp90b1,751
NC_000076.7,88295449,88295574,Sycp3,752
NC_000076.7,93101542,93102443,Gm32604,753
NC_000076.7,94066427,94066824,Gm32749,754
NC_000076.7,94147544,94148064,Tmcc3,754
NC_000076.7,95382869,95385352,Nudt4,755
NC_000076.7,96144943,96145279,Gm33782,756
NC_000076.7,99134954,99135264,LOC118567817,757
NC_000076.7,99286081,99289097,Gm35035,758
NC_000076.7,102880238,102882034,Lrriq1,759
NC_000076.7,103203320,103204014,Slc6a15,760
NC_000076.7,105273517,105287065,Gm46241,761
NC_000076.7,106769375,106772093,Acss3,762
NC_000076.7,110756037,110756115,Csrp2,763
NC_000076.7,116822219,116822717,Best3,764
NC_000076.7,117113446,117114092,Lyz2,765
NC_000076.7,119289810,119290327,Grip1,766
NC_000076.7,121477006,121477974,D930020B18Rik,767
NC_000076.7,121616896,121621680,Srgap1,768
NC_000076.7,121631156,121632241,Gm46183,768
NC_000076.7,127061564,127064290,Kif5a,769
NC_000076.7,127539306,127539569,Myo1a,770
NC_000076.7,127636959,127637379,Rdh16,770
NC_000076.7,127660085,127660465,Rdh18-ps,770
NC_000076.7,128466708,128470680,Ikzf4,771
NC_000077.7,3464684,3465073,Selenom,772
NC_000077.7,3844940,3845226,Dusp18,773
NC_000077.7,3981377,3981517,Sec14l4,774
NC_000077.7,4136852,4137099,Tbc1d10a,775
NC_000077.7,4167401,4168340,Castor1,775
NC_000077.7,5008128,5008524,Rasl10a,776
NC_000077.7,5435880,5436088,Gm11963,777
NC_000077.7,6547814,6547909,Nacad,778
NC_000077.7,9068008,9068162,Upp1,779
NC_000077.7,11880499,11883609,Grb10,780
NC_000077.7,11908406,11914516,LOC102631979,780
NC_000077.7,18698080,18698506,Gm31674,781
NC_000077.7,18705497,18706496,Gm28401,781
NC_000077.7,18939652,18959291,Gm16141,782
NC_000077.7,22784739,22787195,B3gnt2,783
NC_000077.7,22956725,22957383,Fam161a,784
NC_000077.7,23508058,23508842,Selenok-ps1,785
NC_000077.7,31309441,31310528,Stc2,786
NC_000077.7,33579339,33580598,Kcnip1,787
NC_000077.7,33912955,33913007,Kcnmb1,788
NC_000077.7,33923958,33932495,Gm51857,788
NC_000077.7,33996928,33997431,Lcp2,788
NC_000077.7,35897483,35899623,Tenm2,789
NC_000077.7,45724774,45728041,Gm53698,790
NC_000077.7,46701613,46701696,Timd4,791
NC_000077.7,50127288,50127539,Ltc4s,792
NC_000077.7,50763545,50765114,Zfp454,793
NC_000077.7,51180508,51181214,Col23a1,794
NC_000077.7,53367405,53371022,Sowaha,795
NC_000077.7,53873941,53874511,Slc22a4,796
NC_000077.7,55141435,55143324,Fat2,797
NC_000077.7,57918495,57918601,Gm51897,798
NC_000077.7,58856570,58859405,2310058D17Rik,799
NC_000077.7,60360165,60360252,Myo15a,800
NC_000077.7,60426549,60429265,Gm53694,800
NC_000077.7,61017567,61017641,Tnfrsf13b,801
NC_000077.7,61099336,61099436,Aldh3a1,801
NC_000077.7,61281954,61283396,Gm42081,802
NC_000077.7,61376257,61376311,Mfap4,802
NC_000077.7,62640003,62644508,Zfp286,803
NC_000077.7,62711034,62711463,Trim16,803
NC_000077.7,66802731,66802968,Pirt,804
NC_000077.7,69016243,69016308,Aloxe3,805
NC_000077.7,69217084,69217749,Kcnab3,806
NC_000077.7,69833112,69834398,Slc2a4,807
NC_000077.7,69980404,69980633,Gm32946,808
NC_000077.7,69983470,69983616,Asgr2,808
NC_000077.7,70020953,70021268,Mgl2,808
NC_000077.7,70057449,70057642,Clec10a,808
NC_000077.7,70345215,70345383,Cxcl16,809
NC_000077.7,72822160,72822271,Gm34704,810
NC_000077.7,72906869,72907285,Camkk1,810
NC_000077.7,74510428,74510672,Ccdc92b,811
NC_000077.7,75005241,75010558,Gm51907,812
NC_000077.7,75352365,75352581,Mir22hg,813
NC_000077.7,75623924,75629034,Gm57767,814
NC_000077.7,75659096,75662894,Doc2b,814
NC_000077.7,75721818,75723040,Rph3al,814
NC_000077.7,76070497,76070812,Tlcd3a,815
NC_000077.7,76781946,76782090,Tmigd1,816
NC_000077.7,77676236,77679448,Gm10277,817
NC_000077.7,77802953,77806217,Gm11190,818
NC_000077.7,78288102,78288681,Slc13a2,819
NC_000077.7,79130208,79131288,Wsb1,820
NC_000077.7,81926403,81926563,Ccl2,821
NC_000077.7,81936538,81936685,Ccl7,821
NC_000077.7,82006011,82006138,Ccl8,821
NC_000077.7,82956567,82956882,Gm20234,822
NC_000077.7,83594882,83594999,Wfdc17,823
NC_000077.7,84770996,84771337,Myo19,824
NC_000077.7,85125992,85126158,Appbp2os,825
NC_000077.7,85593026,85593328,Bcas3os1,826
NC_000077.7,86924620,86926121,Gdpd1,827
NC_000077.7,87590350,87592472,1110028F11Rik,828
NC_000077.7,88814846,88815550,Scpep1,829
NC_000077.7,94234121,94234601,Abcc3,830
NC_000077.7,94645955,94647981,Gm11545,831
NC_000077.7,95459644,95461921,Ngfr,832
NC_000077.7,95573470,95574942,Gm29873,833
NC_000077.7,95667675,95669034,Gm38957,833
NC_000077.7,95686054,95687779,Gm29933,833
NC_000077.7,95715326,95715535,Phospho1,833
NC_000077.7,95754385,95757102,B4galnt2,833
NC_000077.7,96355396,96355576,Skap1,834
NC_000077.7,97400166,97403474,Srcin1,835
NC_000077.7,98239232,98240000,Ppp1r1b,836
NC_000077.7,99319211,99319904,Krt20,837
NC_000077.7,99992838,99993265,Krt36,838
NC_000077.7,100022585,100022961,Krt15,838
NC_000077.7,100031636,100031993,Krt19,838
NC_000077.7,100147041,100147322,Krt17,839
NC_000077.7,100436434,100436734,Odad4,840
NC_000077.7,100819265,100829778,Gm46295,841
NC_000077.7,101556367,101556463,Arl4d,842
NC_000077.7,101768336,101769555,Meox1,843
NC_000077.7,102159577,102159949,Asb16,844
NC_000077.7,102239646,102241193,Slc4a1,844
NC_000077.7,102467225,102467623,Gm11627,845
NC_000077.7,104120235,104122433,Mapt,846
NC_000077.7,104498826,104498990,Itgb3,847
NC_000077.7,106392965,106394544,Tex2,848
NC_000077.7,109116174,109116602,Rgs9,849
NC_000077.7,109341681,109344220,Slc16a6,850
NC_000077.7,109563752,109564390,Fam20a,851
NC_000077.7,110858859,110858921,Kcnj16,852
NC_000077.7,110956990,110957160,Kcnj2,852
NC_000077.7,112934732,112935986,2610035D17Rik,853
NC_000077.7,113667200,113671969,Sdk2,854
NC_000077.7,114873269,114875123,Cd300ld,855
NC_000077.7,115169453,115174481,Fads6,856
NC_000077.7,116421662,116422027,Sphk1,857
NC_000077.7,116563331,116563408,Snord1c,858
NC_000077.7,116567529,116568507,St6galnac2,858
NC_000077.7,116628630,116630079,Gm11735,858
NC_000077.7,116655851,116656748,St6galnac1,858
NC_000077.7,118319187,118319394,C1qtnf1,859
NC_000077.7,118367635,118367930,Engase,859
NC_000077.7,119033869,119038642,Tbc1d16,860
NC_000077.7,119197923,119198006,Card14,861
NC_000077.7,120041271,120041540,Gm11769,862
NC_000077.7,120250991,120253360,Fscn2,863
NC_000077.7,120527591,120528060,Pycr1,864
NC_000077.7,120544614,120545352,Notum,864
NC_000077.7,120839310,120839405,Slc16a3,865
NC_000077.7,120958221,120959104,Sectm1a,866
NC_000078.7,3415132,3417531,Kif3c,867
NC_000078.7,8561224,8561464,5033421B08Rik,868
NC_000078.7,11140738,11142756,Kcns3,869
NC_000078.7,11375258,11376505,Vsnl1,870
NC_000078.7,15979387,15979658,Gm53739,871
NC_000078.7,16720616,16722544,Greb1,872
NC_000078.7,17038649,17039896,Slc66a3,873
NC_000078.7,17222101,17226551,Kcnf1,874
NC_000078.7,17316590,17316652,Pdia6,874
NC_000078.7,19296215,19296708,Gm51522,875
NC_000078.7,25405901,25405987,Gm36723,876
NC_000078.7,30934323,30935038,Alkal2,877
NC_000078.7,31483141,31483238,Slc26a3,878
NC_000078.7,36042924,36042968,Agr2,879
NC_000078.7,37158539,37159343,Meox2,880
NC_000078.7,40109768,40110626,Scin,881
NC_000078.7,40473730,40476769,Gm40406,882
NC_000078.7,44899267,44902660,Stxbp6,883
NC_000078.7,52649736,52651847,Gm35239,884
NC_000078.7,57553840,57558845,Gm20016,885
NC_000078.7,57593490,57593582,Ttc6,885
NC_000078.7,69669083,69672070,Gm31679,886
NC_000078.7,72258523,72259351,Rtn1,887
NC_000078.7,72481391,72481538,Lrrc9,888
NC_000078.7,74044490,74044637,Syt16,889
NC_000078.7,76167193,76168690,Esr2,890
NC_000078.7,76593746,76593945,AI463170,891
NC_000078.7,80739375,80739801,Plekhd1,892
NC_000078.7,81073582,81073932,Smoc1,893
NC_000078.7,82216138,82216277,Sipa1l1,894
NC_000078.7,85321020,85321185,Zc2hc1c,895
NC_000078.7,85733494,85733747,Batf,896
NC_000078.7,85793313,85794363,Flvcr2,896
NC_000078.7,86103517,86104712,Tgfb3,897
NC_000078.7,86107316,86107983,Gm37804,897
NC_000078.7,87322219,87323181,Gm53736,898
NC_000078.7,87325412,87326976,Ism2,898
NC_000078.7,87346436,87347022,Gm51956,898
NC_000078.7,87783347,87783536,Eif1ad2,899
NC_000078.7,92850492,92852657,Gm40892,900
NC_000078.7,98168543,98170346,Galc,901
NC_000078.7,100242868,100242951,Gm10432,902
NC_000078.7,100514692,100517942,Rps6ka5,903
NC_000078.7,101611705,101615464,Tc2n,904
NC_000078.7,103287401,103287933,Asb2,905
NC_000078.7,103417157,103417611,Ifi27l2b,906
NC_000078.7,105303087,105303216,Tunar,907
NC_000078.7,108998107,109000277,Begain,908
NC_000078.7,110563042,110566217,Gm35558,909
NC_000078.7,111237530,111237598,Amn,910
NC_000078.7,111439716,111443056,Gm40578,911
NC_000078.7,111635789,111636175,Ckb,912
NC_000078.7,111658725,111665291,Gm51961,912
NC_000078.7,111908425,111909645,5033406O09Rik,913
NC_000078.7,111912392,111912806,Gm36757,913
NC_000078.7,112109378,112110764,Kif26a,914
NC_000078.7,112655611,112660278,Gm30298,915
NC_000078.7,112727089,112727217,Pld4,915
NC_000078.7,113110082,113110182,Gm30599,916
NC_000078.7,113115632,113115773,Crip1,916
NC_000078.7,113290161,113290244,Ighg1,917
NC_000078.7,113321062,113321142,Ighg3,917
NC_000078.7,113911904,113912197,Ighv4-1,918
NC_000078.7,116449316,116449593,Ptprn2,919
NC_000078.7,117429744,117429918,Gm31482,920
NC_000078.7,117480146,117480523,Rapgef5,920
NC_000078.7,117841717,117842358,Dnah11,921
NC_000079.7,3852893,3854318,Calml3,922
NC_000079.7,12486090,12493455,Edaradd,923
NC_000079.7,19775878,19777518,Epdr1,924
NC_000079.7,20978273,20978687,Aoah,925
NC_000079.7,21952299,21953383,Gm11274,926
NC_000079.7,21997481,21998535,Gm53778,926
NC_000079.7,22186346,22186980,Prss16,927
NC_000079.7,22225130,22225532,H4c9,927
NC_000079.7,23641154,23643537,Btn1a1,928
NC_000079.7,23727093,23727614,H2bc9,928
NC_000079.7,24685513,24685670,Ripor2,929
NC_000079.7,25121384,25121586,9330162012Rik,930
