Geneid,Chr,Start,End,Strand,Length,adult_PAR_01,adult_PAR_02,adult_PAR_03,adult_PAR_04,adult_SL_01,adult_SL_02,adult_SL_03,adult_SM_01,adult_SM_02,adult_SM_03,adult_SM_04,adult_SM_05,adult_SM_06
CACNA1C-IT1,NC_000012.12,2016671,2018292,+,2998,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1C-IT1_1,NW_018654718.1,358815,360436,+,9223,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1C-IT2,NC_000012.12,2048352,2048610,+,589,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1C-IT2_1,NW_018654718.1,390496,390754,+,589,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1C-IT3,NC_000012.12,2269776,2269941,+,430,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1C-IT3_1,NW_018654718.1,617892,618057,+,430,2,0,0,0,2,2,0,0,0,0,0,0,0
CACNA1C_1,NW_018654718.1,311696,313345,+,18595,27,10,7,31,30,12,4,22,14,46,49,17,20
CACNA1D,NC_000003.12,53494611,53495233,+,18670,620,459,347,284,316,525,566,250,628,320,295,308,369
CACNA1E,NC_000001.11,181317699,181318123,+,18014,4,0,0,21,17,10,5,4,0,3,3,0,2
CACNA1F,NC_000023.11,49205063,49205367,-,6079,2,2,0,19,14,11,7,18,14,2,19,6,16
CACNA1G,NC_000017.11,50560715,50561701,+,8623,5,16,12,12,16,37,6,12,4,8,6,4,6
CACNA1G-AS1,NC_000017.11,50556207,50557458,-,1433,6,13,9,8,0,2,0,4,2,0,9,0,4
CACNA1H,NC_000016.10,1153106,1153470,+,9424,287,167,168,177,162,129,28,196,165,362,314,108,118
CACNA1I,NC_000022.11,39570753,39570988,+,15268,15,6,7,8,14,10,4,46,8,18,6,2,5
CACNA1S,NC_000001.11,201039512,201040082,-,6028,6,4,4,2,0,0,1,0,0,0,4,0,13
CACNA2D1,NC_000007.14,81946444,81950508,-,9665,245,299,286,203,726,447,361,130,136,172,197,188,268
CACNA2D1-AS1,NC_000007.14,82009177,82009262,+,2651,10,6,4,9,37,22,10,14,9,7,3,6,4
CACNA2D2,NC_000003.12,50362613,50364806,-,5902,115,68,67,73,171,165,82,128,87,93,116,53,83
CACNA2D3,NC_000003.12,54122552,54122835,+,3789,1470,704,735,366,28,23,14,29,99,88,329,215,108
CACNA2D3-AS1,NC_000003.12,54874605,54875710,-,2078,66,118,59,41,0,0,0,0,3,3,42,36,4
CACNA2D4,NC_000012.12,1791963,1793759,-,5749,0,2,2,4,12,1,2,6,0,2,6,1,0
CACNA2D4_1,NW_018654718.1,134107,135903,-,5749,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNB1,NC_000017.11,39173453,39175657,-,4638,60,49,62,67,119,135,57,81,71,42,65,38,40
CACNB2,NC_000010.11,18140424,18140856,+,8287,953,1385,891,572,266,320,202,572,749,762,1061,737,447
CACNB3,NC_000012.12,48814480,48814553,+,4932,98,109,52,78,168,295,169,150,60,91,81,44,91
CACNB4,NC_000002.12,151832771,151839379,-,12184,236,140,193,132,674,858,859,360,172,194,257,222,224
CACNG1,NC_000017.11,67044554,67044889,+,1302,0,2,3,7,5,13,4,2,2,0,3,0,2
CACNG2,NC_000022.11,36560857,36564886,-,5981,2,0,0,2,0,0,0,0,0,0,1,0,0
CACNG2-DT,NC_000022.11,36703876,36703992,+,556,6,6,6,5,16,16,8,20,21,11,19,9,8
CACNG3,NC_000016.10,24256335,24256965,+,1917,0,0,0,6,0,0,0,0,0,0,0,0,2
CACNG4,NC_000017.11,66964707,66965131,+,3583,2,0,4,4,14,6,2,7,10,0,11,9,10
CACNG5,NC_000017.11,66835117,66835250,+,10576,10,0,0,10,2,0,8,0,1,0,0,6,4
CACNG6,NC_000019.10,53991149,53991197,+,2550,0,0,0,0,4,0,3,0,6,0,0,0,2
CACNG7,NC_000019.10,53909278,53909517,+,2754,0,0,0,3,0,0,0,0,0,0,0,0,0
CACNG8,NC_000019.10,53962937,53963425,+,8850,2,2,0,5,4,4,0,0,6,2,0,1,8
CACTIN,NC_000019.10,3610645,3612413,-,6914,292,324,238,259,282,348,141,276,234,255,204,216,254
CACTIN-AS1,NC_000019.10,3607247,3607409,+,1913,8,12,5,7,15,5,2,12,1,8,6,9,11
CACUL1,NC_000010.11,118676411,118686168,-,11035,1399,1786,1454,1403,1953,2399,1616,1450,1697,1570,1662,1419,1537
CACYBP,NC_000001.11,174999435,174999689,+,3124,386,507,332,335,564,505,457,374,298,455,436,310,426
CAD,NC_000002.12,27217369,27217633,+,7337,456,528,360,593,1034,715,438,700,388,548,463,354,456
CADM1,NC_000011.10,115169236,115176592,-,8987,1096,1705,1054,1107,1883,2746,2697,1721,1734,1778,2124,1296,1508
CADM1-AS1,NC_000011.10,115396756,115396891,+,529,38,30,12,45,67,121,110,32,35,43,62,48,25
CADM2,NC_000003.12,84958989,84959668,+,12624,31,25,37,49,28,24,16,40,62,39,45,42,40
CADM2-AS2,NC_000003.12,85799987,85800423,-,768,0,0,2,2,0,2,0,0,0,0,0,0,2
CADM2_1,NW_018654711.1,174212,174891,+,683,0,0,0,0,0,2,0,1,0,0,0,0,0
CADM3,NC_000001.11,159171615,159171853,+,3988,20,19,28,25,53,68,19,14,19,34,32,11,33
CADM3-AS1,NC_000001.11,159195985,159198221,-,3294,11,6,14,13,32,35,5,6,0,13,19,8,17
CADM4,NC_000019.10,43622368,43623439,-,2831,285,258,175,266,175,243,172,246,196,240,234,150,189
CADPS,NC_000003.12,62398348,62399585,-,7379,6,2,8,17,130,224,77,45,26,9,52,77,46
CADPS2,NC_000007.14,122318411,122320338,-,5913,4003,4521,3013,2644,2508,3065,3585,4140,4807,3884,4346,3683,3808
CAGE1,NC_000006.12,7326659,7326899,-,3454,6,8,2,1,2,8,2,5,1,5,11,2,0
CAHM,NC_000006.12,163413065,163413950,-,886,0,0,0,0,0,0,0,0,0,0,0,0,0
CALB1,NC_000008.11,90058608,90060286,-,2533,4,16,22,8,14,14,10,11,19,12,23,14,24
CALB2,NC_000016.10,71358723,71358886,+,1454,0,0,0,0,0,0,0,0,0,0,0,0,0
CALB2_1,NW_013171813.1,226200,226363,+,1454,10,0,4,2,3,2,2,2,0,0,7,0,0
CALCA,NC_000011.10,14966668,14967101,-,1619,33,44,19,41,18,24,30,16,20,12,29,6,8
CALCB,NC_000011.10,15073593,15073663,+,1044,8,16,5,21,12,14,9,4,4,6,10,10,5
CALCOCO1,NC_000012.12,53708517,53712121,-,6922,2956,3699,3533,2430,1564,2399,1705,3445,3447,2373,3417,2701,2962
CALCOCO2,NC_000017.11,48831035,48831078,+,3808,1661,1797,1764,1161,1098,1047,786,1247,1814,1218,1274,1080,1063
CALCR,NC_000007.14,93424486,93426589,-,3981,1,2,0,8,1,1,1,0,0,6,7,4,0
CALCRL,NC_000002.12,187341964,187346399,-,6239,415,570,370,430,1008,858,227,190,254,344,412,368,420
CALCRL-AS1,NC_000002.12,187003273,187003365,+,3156,39,22,56,64,126,82,49,54,27,35,54,22,75
CALD1,NC_000007.14,134745467,134745572,+,5586,1667,1568,1246,1192,3907,2273,1020,1689,1034,1670,1727,1174,1999
CALHM1,NC_000010.11,103453240,103455747,-,3212,2,0,6,4,4,6,0,2,0,0,2,2,0
CALHM2,NC_000010.11,103446786,103447568,-,3366,67,61,56,57,290,170,75,113,34,75,91,48,82
CALHM3,NC_000010.11,103472804,103473704,-,1652,0,0,4,0,0,0,2,0,0,0,0,0,2
CALHM4,NC_000006.12,116529043,116529135,+,4789,0,0,0,4,1,0,0,0,0,4,0,0,0
CALHM5,NC_000006.12,116511639,116512236,+,9787,37,51,22,27,164,96,26,14,36,52,54,41,29
CALHM6,NC_000006.12,116461375,116461429,+,1207,12,11,4,9,28,6,2,36,4,35,22,38,33
CALHM6-AS1,NC_000006.12,116460478,116461194,-,803,0,0,0,0,0,0,0,0,0,2,0,0,4
CALM1,NC_000014.9,90396502,90396658,+,5281,6706,8009,5237,6247,8554,8252,8098,5128,5254,5535,6740,4094,4390
CALM2,NC_000002.12,47160082,47160804,-,4855,5002,5992,4214,3790,6070,6486,6673,4563,5467,5808,7067,6231,6060
CALM3,NC_000019.10,46601074,46601176,+,2472,501,559,364,406,705,572,440,479,368,519,482,278,367
CALML3,NC_000010.11,5524961,5526771,+,1811,577,221,367,433,66,90,89,628,401,660,635,383,338
CALML3-AS1,NC_000010.11,5514244,5517512,-,3709,41,20,25,47,4,19,6,63,31,59,33,21,21
CALML4,NC_000015.10,68190705,68194112,-,4635,46,51,45,46,116,97,63,68,53,81,76,62,36
CALML5,NC_000010.11,5498697,5499570,-,874,4622,4209,3138,7266,593,634,1069,7747,2850,7627,5222,3548,5049
CALML6,NC_000001.11,1915260,1915307,+,736,28,29,27,13,9,14,2,18,4,12,14,6,11
CALN1,NC_000007.14,71779491,71787902,-,16318,10,10,4,27,18,4,13,6,4,5,14,14,8
CALR,NC_000019.10,12938609,12938770,+,1901,5006,6639,4758,5225,19090,16304,17476,5720,4919,5904,5189,4839,5838
CALR3,NC_000019.10,16479061,16479274,-,1263,1,0,0,2,2,0,5,0,0,2,8,0,2
CALR4P,NC_000001.11,51561866,51562033,-,1453,20,17,20,33,5,4,2,2,2,4,4,4,0
CALU,NC_000007.14,128739359,128739432,+,6275,2092,2334,1614,1566,4258,4027,5020,1924,1710,2218,1765,1542,1932
CALY,NC_000010.11,133324072,133325566,-,2420,4,9,6,4,0,0,0,2,2,2,4,0,3
CAMK1,NC_000003.12,9757347,9757846,-,1560,135,151,144,196,234,184,92,144,132,125,161,74,122
CAMK1D,NC_000010.11,12349547,12349910,+,12528,976,2284,1075,516,588,720,218,647,480,793,631,423,486
CAMK1G,NC_000001.11,209583714,209583772,+,2627,8,4,6,9,10,6,0,0,6,8,6,0,4
CAMK2A,NC_000005.10,150219491,150222713,-,5102,2,17,2,6,19,0,0,2,4,2,6,0,4
CAMK2B,NC_000007.14,44217154,44219522,-,4889,143,71,173,204,6,4,4,12,20,22,14,14,34
CAMK2D,NC_000004.12,113451032,113454515,-,6851,827,864,649,1006,1292,1437,814,574,489,583,549,610,619
CAMK2G,NC_000010.11,73812501,73814505,-,7361,1938,2436,1765,1402,678,872,493,1419,1554,1233,1089,1231,902
CAMK2N1,NC_000001.11,20482391,20483719,-,2326,272,267,161,262,35,22,0,264,511,431,564,360,302
CAMK2N2,NC_000003.12,184259213,184260227,-,1452,2,8,2,2,4,12,4,6,4,0,0,2,5
CAMK4,NC_000005.10,111223583,111223706,+,12140,52,42,37,57,163,107,55,112,47,110,66,42,82
CAMKK1,NC_000017.11,3860315,3862283,-,4488,1242,811,865,869,522,862,494,1208,664,1406,1894,806,1357
CAMKK2,NC_000012.12,121237692,121240869,-,6024,622,743,643,688,991,1183,747,839,693,611,629,596,717
CAMKMT,NC_000002.12,44361947,44362145,+,10973,143,240,155,151,297,288,392,267,279,238,223,180,150
CAMKV,NC_000003.12,49857989,49859881,-,2998,3,0,2,0,0,0,0,0,0,0,0,0,6
CAMLG,NC_000005.10,134738548,134738792,+,2171,323,327,368,305,368,348,354,273,379,303,251,322,280
CAMP,NC_000003.12,48223495,48223712,+,591,28,10,21,36,16,0,27,1,0,4,4,10,34
CAMSAP1,NC_000009.12,135808487,135811611,-,9066,778,841,626,777,902,923,703,756,629,703,812,454,681
CAMSAP1-DT,NC_000009.12,135907833,135908919,+,9281,134,164,64,198,167,185,84,186,103,174,167,96,167
CAMSAP2,NC_000001.11,200738893,200739966,+,8050,1136,1213,744,786,1522,1337,929,787,934,1218,1058,965,1037
CAMSAP3,NC_000019.10,7595863,7596150,+,4218,1254,1161,909,1292,533,940,400,1042,885,803,1018,471,912
CAMTA1,NC_000001.11,6785454,6785575,+,37116,1085,1183,823,819,791,1048,752,844,674,905,806,796,845
CAMTA1-AS1,NC_000001.11,7440567,7440848,-,812,6,0,4,2,1,4,0,0,2,2,0,0,2
CAMTA1-AS2,NC_000001.11,7382487,7382723,-,744,2,4,4,3,2,5,3,3,0,2,2,0,0
CAMTA1-AS3,NC_000001.11,7008376,7008695,-,349,2,0,0,0,2,0,0,1,0,0,0,1,0
CAMTA1-DT,NC_000001.11,6783892,6784045,-,552,2,6,4,6,0,10,6,2,6,9,8,0,6
CAMTA1-IT1,NC_000001.11,7364394,7370270,+,5877,14,17,8,35,0,6,9,23,29,13,22,12,14
CAMTA2,NC_000017.11,4967997,4968819,-,5038,572,425,426,457,469,607,194,700,438,506,467,298,400
CAMTA2-AS1,NC_000017.11,4987744,4988225,+,1918,13,23,10,30,30,34,15,23,11,37,23,36,27
CAND1,NC_000012.12,67269358,67269785,+,11413,1877,2251,1701,1777,2905,2800,2651,1754,2060,2027,2077,1852,1771
CAND1.11,NC_000011.10,10308313,10308673,+,1019,0,3,3,7,0,4,0,4,2,4,7,2,0
CAND2,NC_000003.12,12796680,12796788,+,6377,157,181,134,131,131,159,80,169,99,114,116,57,108
CANT1,NC_000017.11,78991716,78993920,-,3621,2200,2017,1845,1623,2958,4668,3844,2309,1444,1744,2453,929,2125
CANX,NC_000005.10,179678656,179678777,+,5648,530,731,2674,1200,313,674,138,130,825,169,142,372,92
CANX_1,NW_016107298.1,444337,444468,+,5616,3329,4384,4763,1648,2300,2163,2848,2279,3141,2306,3555,2522,2719
CAP1,NC_000001.11,40040240,40040467,+,3040,934,961,880,891,1883,1407,1329,811,800,936,1076,814,1058
CAP2,NC_000006.12,17393595,17393746,+,2925,182,135,97,114,133,130,49,154,82,119,128,106,123
CAPG,NC_000002.12,85391602,85391689,-,3058,299,193,200,411,623,393,220,195,123,231,188,254,207
CAPN1,NC_000011.10,65181373,65181410,+,3502,2500,2400,2004,1973,2043,2647,1507,2195,1896,1811,2183,1538,1995
CAPN1-AS1,NC_000011.10,65179871,65181072,-,1812,86,108,68,72,29,66,34,81,119,66,27,70,117
CAPN10,NC_000002.12,240586734,240587052,+,2621,226,236,191,305,334,320,179,315,189,283,240,231,244
CAPN10-DT,NC_000002.12,240582750,240586316,-,3567,35,70,24,73,47,50,40,74,46,88,87,42,83
CAPN11,NC_000006.12,44158820,44158864,+,3292,8,7,5,7,10,18,4,12,0,7,0,0,10
CAPN12,NC_000019.10,38730192,38730878,-,3557,0,2,0,0,0,0,0,0,0,0,0,0,0
CAPN12_1,NW_014040929.1,139828,140514,-,3557,3,17,38,12,8,9,0,15,14,20,6,15,19
CAPN13,NC_000002.12,30722771,30723236,-,7286,44,53,15,55,36,17,10,43,32,13,23,26,53
CAPN14,NC_000002.12,31173056,31174707,-,4371,9,15,10,27,22,15,38,6,2,4,0,0,0
CAPN15,NC_000016.10,527712,528029,+,15031,1167,983,868,1401,1253,1237,438,1297,764,1023,866,566,1089
CAPN15_1,NT_187610.1,130380,130698,+,319,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPN2,NC_000001.11,223701597,223701831,+,4228,3724,3500,3210,2641,6833,7868,4419,3918,3090,3025,3408,2962,3838
CAPN3,NC_000015.10,42359501,42360114,+,3699,476,476,381,403,578,614,400,633,337,329,516,315,369
CAPN5,NC_000011.10,77066971,77067094,+,4739,81,66,72,63,211,267,120,108,46,90,95,35,97
CAPN6,NC_000023.11,111245099,111246759,-,3532,168,127,83,260,291,431,319,465,222,309,181,156,217
CAPN7,NC_000003.12,15206246,15206597,+,4656,1631,1814,1465,1262,1684,1846,1579,1443,1614,1617,1571,1383,1242
CAPN8,NC_000001.11,223541616,223541859,-,3769,394,249,207,93,479,492,901,97,32,79,66,45,155
CAPN9,NC_000001.11,230747388,230747709,+,3298,2,5,4,17,359,529,804,46,10,59,18,45,61
CAPNS1,NC_000019.10,36140066,36140157,+,2121,802,874,555,898,1403,1438,1204,822,615,709,692,572,540
CAPNS2,NC_000016.10,55566684,55567687,+,1004,3,15,6,10,8,8,3,4,4,10,9,2,10
CAPRIN1,NC_000011.10,34051731,34051871,+,6934,2745,2797,2633,2037,3208,3147,2299,2643,2511,2654,2751,1905,2644
CAPRIN2,NC_000012.12,30709553,30710546,-,5790,200,255,246,228,474,403,330,325,262,275,238,179,301
CAPS,NC_000019.10,5914254,5914309,+,1537,61,89,79,60,61,106,78,62,54,38,98,27,170
CAPS2,NC_000012.12,75275979,75279065,-,11168,161,171,157,138,210,158,116,182,195,110,190,229,146
CAPS2-AS1,NC_000012.12,75258190,75258438,+,635,0,3,0,3,0,2,0,2,2,0,2,1,0
CAPSL,NC_000005.10,35904288,35904646,-,1166,0,0,0,2,0,0,0,0,0,0,0,0,0
CAPSL-DT,NC_000005.10,35938801,35938924,+,395,0,0,0,2,2,0,0,0,0,0,0,0,0
CAPS_1,NW_025791810.1,87823,87878,+,968,0,0,0,2,0,0,0,2,22,1,1,2,0
CAPZA1,NC_000001.11,112619832,112619883,+,2501,929,936,908,870,2052,1642,1537,1086,1038,1191,1056,794,1049
CAPZA2,NC_000007.14,116862587,116862650,+,5068,982,976,710,646,1829,1563,1499,834,1032,1209,1148,1108,1339
CAPZA3,NC_000012.12,18738119,18739188,+,1070,17,18,22,17,0,0,2,4,2,7,8,4,0
CAPZB,NC_000001.11,19338775,19339617,-,4672,959,863,759,841,1178,807,617,977,616,804,798,441,701
CARD10,NC_000022.11,37490362,37491393,-,4111,851,893,691,773,438,465,207,844,732,719,961,564,552
CARD11,NC_000007.14,2906142,2906842,-,4348,45,41,40,63,77,65,25,189,39,59,53,58,66
CARD11-AS1,NC_000007.14,2944035,2944508,+,965,0,2,2,4,0,4,0,2,2,4,0,4,2
CARD14,NC_000017.11,80170030,80170056,+,6536,0,0,0,2,0,0,0,0,0,2,0,0,0
CARD14_1,NW_025791802.1,194698,194762,+,5522,39,3,13,11,8,4,7,8,9,8,13,11,11
CARD16,NC_000011.10,105041563,105041719,-,632,23,14,25,19,60,54,42,43,27,37,39,39,27
CARD17P,NC_000011.10,105080453,105080600,-,657,2,0,0,2,2,0,0,5,0,2,0,2,0
CARD18,NC_000011.10,105137714,105138098,-,702,0,0,0,0,0,0,0,0,0,0,0,0,0
CARD19,NC_000009.12,93096217,93096352,+,2406,214,154,133,131,181,176,126,229,137,155,177,148,183
CARD6,NC_000005.10,40841367,40841665,+,4154,345,348,402,432,708,768,756,613,556,555,651,476,489
CARD8,NC_000019.10,48203148,48204243,-,8100,336,413,277,413,787,511,390,649,389,581,449,347,433
CARD8-AS1,NC_000019.10,48255675,48255794,+,1964,10,24,7,22,31,32,41,11,14,18,17,21,5
CARD9,NC_000009.12,136363956,136364401,-,2111,21,43,15,25,42,20,10,53,19,36,24,19,40
CARF,NC_000002.12,202912275,202913114,+,8237,318,424,294,370,394,522,383,361,396,430,388,398,305
CARHSP1,NC_000016.10,8852942,8855326,-,3882,502,646,467,495,595,723,339,583,334,455,491,319,719
CARHSP1-DT,NC_000016.10,8869281,8869328,+,475,0,8,6,0,2,2,0,0,4,0,2,0,4
CARINH,NC_000005.10,132410929,132411041,+,649,118,119,106,98,78,128,109,164,113,83,106,119,146
CARM1,NC_000019.10,10871553,10871922,+,3704,300,320,204,276,303,392,152,320,271,225,242,127,198
CARMAL,NC_000015.10,89040998,89041300,+,6686,4,1,2,10,7,0,0,0,0,0,0,0,4
CARMIL1,NC_000006.12,25279374,25279835,+,5876,810,826,537,507,1513,1944,1167,795,1007,824,915,636,574
CARMIL2,NC_000016.10,67645144,67645286,+,4495,28,29,21,34,65,59,28,90,27,56,25,23,26
CARMIL3,NC_000014.9,24052009,24052193,+,4845,4,4,0,2,10,5,10,8,0,5,2,6,0
CARMIL3_1,NW_018654722.1,352987,353171,+,4845,0,0,0,0,0,2,0,0,0,0,0,0,0
CARMN,NC_000005.10,149406845,149407078,+,1003,457,611,464,529,533,397,357,437,316,408,574,298,270
CARNMT1,NC_000009.12,74980790,74983868,-,11335,649,789,642,567,649,739,741,489,641,680,651,555,550
CARNMT1-AS1,NC_000009.12,74952965,74953117,+,1811,21,29,27,55,21,33,32,21,37,33,34,23,26
CARNS1,NC_000011.10,67415678,67415763,+,3966,463,545,280,443,101,201,77,271,244,222,276,174,189
CARS1,NC_000011.10,3000929,3001248,-,3623,31,47,28,47,65,79,22,46,122,54,52,75,32
CARS1-AS1,NC_000011.10,3029394,3031576,+,2664,0,9,0,13,7,7,14,3,2,4,16,2,14
CARS1-AS1_1,NT_187585.1,260451,262633,+,2664,12,5,0,7,6,0,4,2,12,17,0,7,4
CARS1_1,NT_187585.1,231991,232310,-,3554,51,24,14,82,45,14,56,40,26,69,15,14,76
CARS2,NC_000013.11,110641410,110641608,-,5992,787,837,727,871,821,945,561,813,662,812,925,547,770
CARTPT,NC_000005.10,71719275,71719452,+,800,0,0,0,0,0,0,0,0,0,0,0,0,0
CASC11,NC_000008.11,127700608,127700839,-,1520,5,14,4,16,4,0,6,8,9,6,6,0,2
CASC15,NC_000006.12,21666413,21666645,+,3353,84,76,51,72,110,108,68,85,51,75,70,62,83
CASC16,NC_000016.10,52552087,52552434,-,1001,0,0,2,0,8,2,6,2,2,0,0,0,0
CASC17,NC_000017.11,71097774,71099618,-,2062,0,0,0,6,2,0,0,2,0,0,0,0,2
CASC18,NC_000012.12,105704203,105704256,+,2704,4,1,0,12,0,0,2,2,0,0,2,12,0
CASC19,NC_000008.11,127187785,127187884,-,324,23,26,30,23,23,29,38,30,26,34,44,15,28
CASC2,NC_000010.11,118046821,118047103,+,5214,23,9,23,14,25,36,6,26,33,14,31,23,25
CASC20,NC_000020.11,6426732,6426810,+,1563,2,0,0,2,0,0,0,0,0,2,0,0,0
CASC21,NC_000008.11,127244637,127244784,+,585,34,16,15,33,19,38,26,25,32,12,36,16,39
CASC22,NC_000016.10,52258564,52258583,+,386,0,0,0,1,0,0,0,0,0,0,0,0,0
CASC23,NC_000011.10,8011278,8012268,-,1583,0,0,0,2,0,0,2,0,0,0,0,0,0
CASC3,NC_000017.11,40140537,40140779,+,4064,1734,1654,1545,1527,960,1353,875,1416,1279,1216,1410,570,1152
CASC6,NC_000006.12,91629040,91630229,-,1608,2,0,6,2,0,0,0,2,9,2,0,0,0
CASC8,NC_000008.11,127289676,127290060,-,1932,14,12,11,45,11,23,37,28,15,19,30,13,20
CASC9,NC_000008.11,75223117,75224358,-,1648,4,2,0,4,9,0,0,0,0,0,0,0,0
CASD1,NC_000007.14,94509809,94510217,+,7470,1239,1559,1555,978,1491,1817,1607,1819,2804,1954,3226,1983,2286
CASK,NC_000023.11,41514934,41520596,-,8967,576,682,519,592,914,1312,673,1020,1043,971,1292,729,775
CASK-AS1,NC_000023.11,41517762,41520366,+,2789,3,2,4,2,7,0,8,3,3,2,8,10,7
CASKIN1,NC_000016.10,2177180,2178646,-,5839,36,39,36,65,19,45,14,35,51,37,40,30,31
CASKIN2,NC_000017.11,75500261,75501170,-,5177,657,476,382,447,343,465,127,507,300,392,403,204,384
CASP1,NC_000011.10,105025443,105025600,-,2839,88,114,114,151,262,214,123,222,76,163,167,182,211
CASP10,NC_000002.12,201183141,201183308,+,6607,273,230,210,258,649,578,361,386,506,356,373,315,458
CASP12,NC_000011.10,104883286,104886102,-,4005,0,1,0,8,2,0,0,2,0,0,4,0,0
CASP12_1,NW_025791791.1,182419,185235,-,3910,0,0,0,0,0,0,0,0,0,0,0,0,0
CASP14,NC_000019.10,15049480,15049645,+,3219,1,0,0,3,0,0,2,0,0,0,0,2,2
CASP16P,NC_000016.10,3144291,3144324,+,1368,48,36,23,19,31,31,18,39,29,44,38,36,38
CASP1P2,NC_000011.10,105062602,105064070,-,2195,4,15,8,20,2,9,4,18,2,7,11,6,15
CASP2,NC_000007.14,143288351,143288529,+,4219,503,418,482,538,641,603,456,584,510,563,597,383,466
CASP3,NC_000004.12,184627696,184629501,-,3124,173,225,109,160,630,557,495,308,296,309,260,278,290
CASP4,NC_000011.10,104942866,104942973,-,1453,16,24,11,11,16,33,28,11,20,17,28,20,16
CASP4LP,NC_000011.10,104901549,104901659,-,619,0,0,0,0,0,0,0,0,0,0,0,0,0
CASP4LP_1,NW_025791791.1,200682,200789,-,619,3,8,12,8,0,0,0,4,5,5,9,23,6
CASP4_1,NW_025791791.1,241999,242106,-,1345,40,33,20,121,135,150,29,41,136,23,37,36,27
CASP5,NC_000011.10,104994243,104994347,-,1485,0,0,2,9,6,3,0,2,2,4,2,0,9
CASP6,NC_000004.12,109664388,109672682,-,11242,231,218,148,159,273,227,166,244,155,248,227,226,172
CASP7,NC_000010.11,113679194,113679349,+,3893,778,916,785,704,715,656,617,637,814,695,821,727,745
CASP8,NC_000002.12,201233463,201233622,+,7143,263,282,184,298,548,482,319,456,306,337,279,304,315
CASP8AP2,NC_000006.12,89829880,89829934,+,6783,2,44,15,10,19,27,39,34,13,28,19,16,21
CASP8AP2_1,NW_017363815.1,13399,16172,+,19767,37,47,8,30,48,20,45,28,29,16,27,7,27
CASP9,NC_000001.11,15491401,15493035,-,3991,177,104,221,190,167,130,96,166,133,252,126,79,113
CASQ1,NC_000001.11,160190575,160191030,+,1878,13,18,5,16,2,10,2,7,1,11,7,3,10
CASQ2,NC_000001.11,115700021,115701426,-,2593,24,23,37,40,49,38,14,18,10,30,18,28,30
CASR,NC_000003.12,122183668,122183812,+,12474,4,0,2,13,12,2,4,0,0,2,2,0,0
CASS4,NC_000020.11,56412036,56412214,+,4374,42,29,40,49,101,48,11,64,14,90,29,9,31
CAST,NC_000005.10,95961429,95961586,+,7004,3310,3068,2785,2383,2765,3162,2184,2491,2755,2588,2389,1972,2477
CASTOR1,NC_000022.11,30285117,30285688,-,1501,132,103,131,117,132,115,67,126,126,69,93,71,135
CASTOR2,NC_000007.14,74964705,74965098,+,8100,1042,1121,874,1065,485,541,252,684,730,625,820,481,657
CASTOR3P,NC_000007.14,100200653,100202603,-,6010,327,412,305,308,204,240,110,327,262,289,255,150,180
CASZ1,NC_000001.11,10636604,10640059,-,9127,3537,4071,2377,2997,1955,3578,1285,3390,2284,2893,2854,1437,2334
CAT,NC_000011.10,34438934,34439079,+,2291,1505,1011,1536,1402,1315,1569,1776,1442,2008,1470,1809,1436,1572
CATIP,NC_000002.12,218356857,218356909,+,1406,0,2,2,2,4,0,3,1,1,2,1,6,2
CATIP-AS1,NC_000002.12,218366665,218366798,-,547,4,0,2,4,5,1,0,2,2,0,0,0,0
CATIP-AS2,NC_000002.12,218326241,218327147,-,1183,8,2,0,2,14,2,0,2,2,2,0,1,4
CATSPER1,NC_000011.10,66016752,66016916,-,2620,1,8,3,2,2,1,0,0,0,2,5,0,2
CATSPER2,NC_000015.10,43628503,43630732,-,4052,22,62,31,36,55,49,30,60,50,52,59,52,48
CATSPER2P1,NC_000015.10,43735934,43737008,-,1649,27,30,23,33,27,19,12,14,30,18,23,14,28
CATSPER3,NC_000005.10,134967907,134968089,+,1355,44,68,48,70,51,71,31,75,60,40,54,52,54
CATSPER4,NC_000001.11,26190602,26190840,+,2275,0,6,4,3,0,4,1,3,0,0,0,1,2
CATSPERB,NC_000014.9,91580698,91581107,-,3699,2,17,11,7,16,38,6,10,21,2,7,10,6
CATSPERB_1,NT_187598.1,44834,45243,-,3699,13,20,23,26,37,46,41,25,11,24,8,26,48
CATSPERD,NC_000019.10,5720637,5720808,+,2897,7,34,3,13,0,8,0,1,2,6,2,4,1
CATSPERE,NC_000001.11,244451242,244452334,+,5621,38,63,36,36,63,76,49,56,43,45,27,49,42
CATSPERG,NC_000019.10,38335830,38335875,+,3691,91,96,86,86,65,81,85,88,48,74,72,60,87
CATSPERZ,NC_000011.10,64300358,64300431,+,780,0,0,0,0,0,0,0,0,0,0,0,0,0
CAV1,NC_000007.14,116525009,116525805,+,3365,961,752,910,776,1851,598,416,342,360,548,400,351,648
CAV2,NC_000007.14,116499738,116499931,+,3167,488,388,387,363,614,490,315,191,283,377,304,342,332
