"human_gene","human_id","mouse_gene","mouse_id","phenotype","extra","n_mouse","n_human","ortholog_type"
"EYA2",2139,"Eya2","MGI:109341","MP:0005377, MP:0005378, MP:0005379, MP:0005386, MP:0005387, MP:0005397",NA,1,1,"one-to-one"
"EYA3",2140,"Eya3","MGI:109339","MP:0005378, MP:0005385, MP:0005386, MP:0005388, MP:0005390",NA,1,1,"one-to-one"
"EYA4",2070,"Eya4","MGI:1337104","MP:0005376, MP:0005377, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005382, MP:0005384, MP:0005387, MP:0005389, MP:0005390, MP:0010768",NA,1,1,"one-to-one"
"EZH1",2145,"Ezh1","MGI:1097695","MP:0003631, MP:0005376, MP:0005384, MP:0005387, MP:0005389, MP:0005397",NA,1,1,"one-to-one"
"EZH2",2146,"Ezh2","MGI:107940","MP:0002006, MP:0003631, MP:0005367, MP:0005369, MP:0005371, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005384, MP:0005385, MP:0005387, MP:0005388, MP:0005389, MP:0005390, MP:0005397, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"EZHIP",340602,"Ezhip","MGI:2147968","MP:0005379, MP:0005389, MP:0010768",NA,1,1,"one-to-one"
"EZR",7430,"Ezr","MGI:98931","MP:0005378, MP:0005379, MP:0005381, MP:0005387, MP:0005391, MP:0010768",NA,1,1,"one-to-one"
"F10",2159,"F10","MGI:103107","MP:0005367, MP:0005376, MP:0005378, MP:0005385, MP:0005386, MP:0005389, MP:0010768",NA,1,1,"one-to-one"
"F11",2160,"F11","MGI:99481","MP:0003631, MP:0005376, MP:0005397",NA,1,1,"one-to-one"
"F11R",50848,"F11r","MGI:1321398","MP:0005385, MP:0005387, MP:0010768",NA,1,1,"one-to-one"
"F12",2161,"F12","MGI:1891012","MP:0003631, MP:0005376",NA,1,1,"one-to-one"
"F13A1",2162,"F13a1","MGI:1921395","MP:0005376, MP:0005385, MP:0005388, MP:0005389, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"F13B",2165,"F13b","MGI:88379","MP:0005376",NA,1,1,"one-to-one"
"F2",2147,"F2","MGI:88380","MP:0003631, MP:0005375, MP:0005376, MP:0005378, MP:0005380, MP:0005381, MP:0005385, MP:0005386, MP:0005387, MP:0005390, MP:0005397, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"F2R",2149,"F2r","MGI:101802","MP:0003631, MP:0005367, MP:0005370, MP:0005371, MP:0005376, MP:0005378, MP:0005380, MP:0005381, MP:0005384, MP:0005385, MP:0005387, MP:0005389, MP:0005390, MP:0010768",NA,1,1,"one-to-one"
"F2RL1",2150,"F2rl1","MGI:101910","MP:0003631, MP:0005367, MP:0005370, MP:0005376, MP:0005379, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005390, MP:0005397, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"F2RL2",2151,"F2rl2","MGI:1298208","MP:0005376, MP:0005397",NA,1,1,"one-to-one"
"F2RL3",9002,"F2rl3","MGI:1298207","MP:0005376",NA,1,1,"one-to-one"
"F3",2152,"F3","MGI:88381","MP:0003631, MP:0005369, MP:0005376, MP:0005378, MP:0005380, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005391, MP:0005397, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"F5",2153,"F5","MGI:88382","MP:0005370, MP:0005376, MP:0005380, MP:0005385, MP:0005386, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"F7",2155,"F7","MGI:109325","MP:0005375, MP:0005376, MP:0005378, MP:0005382, MP:0005385, MP:0005390, MP:0010768",NA,1,1,"one-to-one"
"F8",2157,"F8","MGI:88383","MP:0005376, MP:0005387, MP:0010768",NA,1,1,"one-to-one"
"F8A1",8263,"F8a","MGI:95474","",NA,1,3,"one-to-many (mouse-to-human)"
"F8A2",474383,"F8a","MGI:95474","",NA,1,3,"one-to-many (mouse-to-human)"
"F8A3",474384,"F8a","MGI:95474","",NA,1,3,"one-to-many (mouse-to-human)"
"F9",2158,"F9","MGI:88384","MP:0005376, MP:0005378, MP:0005380, MP:0005385, MP:0005387, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"FA2H",79152,"Fa2h","MGI:2443327","MP:0003631, MP:0005367, MP:0005376, MP:0005378, MP:0005379, MP:0005386, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"FAAH",2166,"Faah","MGI:109609","MP:0003631, MP:0005376, MP:0005386, MP:0005397",NA,1,1,"one-to-one"
"FAAP100",80233,"Faap100","MGI:1919135","MP:0005376, MP:0005379, MP:0005384, MP:0005389",NA,1,1,"one-to-one"
"FAAP20",199990,"Faap20","MGI:1914763","MP:0005379, MP:0005384, MP:0005389, MP:0005397",NA,1,1,"one-to-one"
"FAAP24",91442,"Faap24","MGI:2142208","",NA,1,1,"one-to-one"
"FABP1",2168,"Fabp1","MGI:95479","MP:0005370, MP:0005376, MP:0005387, MP:0005397",NA,1,1,"one-to-one"
"FABP12",646486,"Fabp12","MGI:1922747","MP:0005378",NA,1,1,"one-to-one"
"FABP2",2169,"Fabp2","MGI:95478","MP:0005367, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005387",NA,1,1,"one-to-one"
"FABP3",2170,"Fabp3","MGI:95476","MP:0005369, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0005391, MP:0010768",NA,1,1,"one-to-one"
"FABP4",2167,"Fabp4","MGI:88038","MP:0005375, MP:0005376, MP:0005378, MP:0005386",NA,1,1,"one-to-one"
"FABP5",2171,"Fabp5","MGI:101790","MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0010771",NA,1,2,"one-to-many (mouse-to-human)"
"FABP5P3",220832,"Fabp5","MGI:101790","MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0010771",NA,1,2,"one-to-many (mouse-to-human)"
"FABP6",2172,"Fabp6","MGI:96565","MP:0005370, MP:0005376",NA,1,1,"one-to-one"
"FABP7",2173,"Fabp7","MGI:101916","MP:0003631, MP:0005376, MP:0005386, MP:0005397",NA,1,1,"one-to-one"
"FABP9",646480,"Fabp9","MGI:1194881","MP:0005384, MP:0005389",NA,1,1,"one-to-one"
"FADD",8772,"Fadd","MGI:109324","MP:0003631, MP:0005369, MP:0005375, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005384, MP:0005385, MP:0005387, MP:0005389, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"FADS1",3992,"Fads1","MGI:1923517","MP:0003631, MP:0005367, MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005384, MP:0005386, MP:0005387, MP:0005389, MP:0005390, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"FADS2",9415,"Fads2","MGI:1930079","MP:0005367, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005384, MP:0005386, MP:0005387, MP:0005389, MP:0005397, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"FADS2B",643181,"Fads2b","MGI:2687041","",NA,1,1,"one-to-one"
"FADS3",3995,"Fads3","MGI:1928740","MP:0005370, MP:0005376, MP:0005377, MP:0005386",NA,1,1,"one-to-one"
"FADS6",283985,"Fads6","MGI:3039592","MP:0005376, MP:0005381, MP:0005385, MP:0005389, MP:0005391, MP:0010771",NA,1,1,"one-to-one"
"FAF1",11124,"Faf1","MGI:109419","MP:0003631, MP:0005376, MP:0005384, MP:0005386, MP:0005389, MP:0010768",NA,1,1,"one-to-one"
"FAF2",23197,"Faf2","MGI:1923827","MP:0003631, MP:0005370, MP:0005376, MP:0005378, MP:0005380, MP:0005382, MP:0005385, MP:0005386, MP:0005391, MP:0010768",NA,1,1,"one-to-one"
"FAH",2184,"Fah","MGI:95482","MP:0002006, MP:0005367, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"FAHD1",81889,"Fahd1","MGI:1915886","MP:0005376",NA,1,1,"one-to-one"
"FAHD2A",51011,"Fahd2a","MGI:1915376","MP:0005378, MP:0005390",NA,1,2,"one-to-many (mouse-to-human)"
"FAHD2B",151313,"Fahd2a","MGI:1915376","MP:0005378, MP:0005390",NA,1,2,"one-to-many (mouse-to-human)"
"FAIM",55179,"Faim","MGI:1344387","MP:0005370, MP:0005376, MP:0005379, MP:0005384, MP:0005385, MP:0005387, MP:0005397, MP:0010768",NA,2,1,"one-to-many (human-to-mouse)"
"FAIM",55179,"Faiml","MGI:3647754","MP:0005379, MP:0005389",NA,2,1,"one-to-many (human-to-mouse)"
"FAIM2",23017,"Faim2","MGI:1919643","MP:0003631, MP:0005367, MP:0005376, MP:0005378, MP:0005386, MP:0005387, MP:0005391, MP:0005397",NA,1,1,"one-to-one"
"FAM107A",11170,"Fam107a","MGI:3041256","",NA,1,1,"one-to-one"
"FAM107B",83641,"Fam107b","MGI:1913790","MP:0005377, MP:0005378, MP:0005382, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"FAM110A",83541,"Fam110a","MGI:1921097","",NA,1,1,"one-to-one"
"FAM110B",90362,"Fam110b","MGI:1916593","MP:0005376, MP:0005386, MP:0005387, MP:0005397",NA,1,1,"one-to-one"
"FAM110C",642273,"Fam110c","MGI:1918813","",NA,1,1,"one-to-one"
"FAM110D",79927,"Fam110d","MGI:1919940","",NA,1,1,"one-to-one"
"FAM111A",63901,"Fam111a","MGI:1915508","",NA,1,1,"one-to-one"
"FAM114A1",92689,"Fam114a1","MGI:1915553","MP:0005376, MP:0005386",NA,1,1,"one-to-one"
"FAM114A2",10827,"Fam114a2","MGI:1917629","",NA,1,1,"one-to-one"
"FAM117A",81558,"Fam117a","MGI:2144564","MP:0003631",NA,1,1,"one-to-one"
"FAM117B",150864,"Fam117b","MGI:1920000","MP:0005376, MP:0005390, MP:0005391",NA,1,1,"one-to-one"
"FAM118A",55007,"Fam118a","MGI:1920475","MP:0005385",NA,1,1,"one-to-one"
"FAM118B",79607,"Fam118b","MGI:1924483","",NA,1,1,"one-to-one"
"FAM120A",23196,"Fam120a","MGI:2446163","MP:0005375, MP:0005376, MP:0005377, MP:0005378, MP:0005385, MP:0005386, MP:0005390, MP:0005391",NA,1,1,"one-to-one"
"FAM120B",84498,"Fam120b","MGI:1914794","MP:0005369, MP:0005376, MP:0005384, MP:0005385, MP:0005391",NA,1,1,"one-to-one"
"FAM120C",54954,"Fam120c","MGI:2387687","MP:0005367, MP:0005378, MP:0005379, MP:0005382, MP:0005385, MP:0005387, MP:0005390, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"FAM124A",220108,"Fam124a","MGI:3645930","MP:0005378, MP:0005379, MP:0005385, MP:0005387, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"FAM124B",79843,"Fam124b","MGI:3026880","",NA,1,1,"one-to-one"
"FAM131A",131408,"Fam131a","MGI:1925658","MP:0005376",NA,1,1,"one-to-one"
"FAM131B",9715,"Fam131b","MGI:1923406","",NA,1,1,"one-to-one"
"FAM131C",348487,"Fam131c","MGI:2685539","",NA,1,1,"one-to-one"
"FAM133B",257415,"Fam133b","MGI:1915402","",NA,1,1,"one-to-one"
"FAM135A",57579,"Fam135a","MGI:1915437","MP:0005385, MP:0005386, MP:0005391, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"FAM135B",51059,"Fam135b","MGI:1917613","MP:0003631",NA,1,1,"one-to-one"
"FAM136A",84908,"Fam136a","MGI:1913738","MP:0005377",NA,1,1,"one-to-one"
"FAM13A",10144,"Fam13a","MGI:1889842","MP:0005375, MP:0005376, MP:0005387",NA,1,1,"one-to-one"
"FAM13B",51306,"Fam13b","MGI:2447834","MP:0005376, MP:0005385, MP:0005386, MP:0010768",NA,1,1,"one-to-one"
"FAM13C",220965,"Fam13c","MGI:1918971","",NA,1,1,"one-to-one"
"FAM149A",25854,"Fam149a","MGI:2387177","",NA,1,1,"one-to-one"
"FAM149B1",317662,"Fam149b","MGI:2145567","MP:0005389",NA,1,1,"one-to-one"
"FAM151A",338094,"Fam151a","MGI:2657115","",NA,1,1,"one-to-one"
"FAM151B",167555,"Fam151b","MGI:1921192","MP:0001186, MP:0003631, MP:0005387, MP:0005391, MP:0005397",NA,1,1,"one-to-one"
"FAM156A",29057,"Vcf2","MGI:1923420","",NA,1,2,"one-to-many (mouse-to-human)"
"FAM156B",727866,"Vcf2","MGI:1923420","",NA,1,2,"one-to-many (mouse-to-human)"
"FAM161A",84140,"Fam161a","MGI:1921123","MP:0003631, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005391, MP:0005397",NA,1,1,"one-to-one"
"FAM161B",145483,"Fam161b","MGI:2443027","MP:0005369, MP:0005378, MP:0005379, MP:0005385, MP:0005387, MP:0005397",NA,1,1,"one-to-one"
"FAM162A",26355,"Fam162a","MGI:1917436","MP:0003631, MP:0005385, MP:0005391",NA,1,1,"one-to-one"
"FAM162B",221303,"Fam162b","MGI:1924546","",NA,1,1,"one-to-one"
"FAM163A",148753,"Fam163a","MGI:3618859","MP:0005375, MP:0005376, MP:0005378, MP:0005387, MP:0005391, MP:0005397",NA,1,1,"one-to-one"
"FAM163B",642968,"Fam163b","MGI:1926106","",NA,1,1,"one-to-one"
"FAM167A",83648,"Fam167a","MGI:3606565","MP:0005370, MP:0005378, MP:0005379, MP:0005385, MP:0005387, MP:0005388, MP:0005389, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"FAM167B",84734,"Fam167b","MGI:2668032","",NA,1,1,"one-to-one"
"FAM168A",23201,"Fam168a","MGI:2442372","MP:0005376, MP:0005386, MP:0005391",NA,1,1,"one-to-one"
"FAM168B",130074,"Fam168b","MGI:2448487","",NA,1,1,"one-to-one"
"FAM169A",26049,"Fam169a","MGI:2444268","",NA,1,1,"one-to-one"
"FAM169BP",283777,"Fam169b","MGI:3644026","",NA,1,1,"one-to-one"
"FAM170A",340069,"Fam170a","MGI:2684939","MP:0005378, MP:0005379, MP:0005384, MP:0005389",NA,1,1,"one-to-one"
"FAM170B",170370,"Fam170b","MGI:2145650","",NA,1,1,"one-to-one"
"FAM171A1",221061,"Fam171a1","MGI:2442917","",NA,1,1,"one-to-one"
"FAM171A2",284069,"Fam171a2","MGI:2448496","",NA,1,1,"one-to-one"
"FAM171B",165215,"Fam171b","MGI:2444579","",NA,1,1,"one-to-one"
"FAM174A",345757,"Fam174a","MGI:1914948","",NA,1,1,"one-to-one"
"FAM174B",400451,"Fam174b","MGI:3698178","",NA,1,1,"one-to-one"
"FAM174C",55009,"Fam174c","MGI:1917020","",NA,1,1,"one-to-one"
"FAM177A1",283635,"Fam177a","MGI:1920635","",NA,2,1,"one-to-many (human-to-mouse)"
"FAM177A1",283635,"Fam177a2","MGI:3714351","",NA,2,1,"one-to-many (human-to-mouse)"
"FAM178B",51252,"Fam178b","MGI:3026913","",NA,1,1,"one-to-one"
"FAM180A",389558,"Fam180a","MGI:3039626","",NA,1,1,"one-to-one"
"FAM181A",90050,"Fam181a","MGI:3647570","",NA,1,1,"one-to-one"
"FAM181B",220382,"Fam181b","MGI:1930951","",NA,1,1,"one-to-one"
"FAM184A",79632,"Fam184a","MGI:1923156","",NA,1,1,"one-to-one"
"FAM184B",27146,"Fam184b","MGI:2442958","MP:0005376",NA,1,1,"one-to-one"
"FAM185A",222234,"Fam185a","MGI:2140983","MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005389, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"FAM186A",121006,"Fam186a","MGI:2685766","",NA,1,1,"one-to-one"
"FAM186B",84070,"Fam186b","MGI:3647604","MP:0005376",NA,1,1,"one-to-one"
"FAM187A",100528020,"Fam187a","MGI:1914034","",NA,1,1,"one-to-one"
"FAM187B",148109,"Fam187b","MGI:1923665","",NA,1,1,"one-to-one"
"FAM193A",8603,"Fam193a","MGI:2447768","MP:0005386, MP:0005397",NA,1,1,"one-to-one"
"FAM193B",54540,"Fam193b","MGI:2385851","",NA,1,1,"one-to-one"
"FAM199X",139231,"Fam199x","MGI:2384304","MP:0005376, MP:0005389",NA,1,1,"one-to-one"
"FAM204A",63877,"Fam204a","MGI:1289174","MP:0005386, MP:0010768",NA,1,1,"one-to-one"
"FAM209A",200232,"Fam209","MGI:1923676","MP:0005384, MP:0005387, MP:0005389, MP:0005397",NA,1,2,"one-to-many (mouse-to-human)"
"FAM209B",388799,"Fam209","MGI:1923676","MP:0005384, MP:0005387, MP:0005389, MP:0005397",NA,1,2,"one-to-many (mouse-to-human)"
"FAM20A",54757,"Fam20a","MGI:2388266","MP:0005367, MP:0005371, MP:0005375, MP:0005378, MP:0005382, MP:0005385, MP:0005388, MP:0005390, MP:0005391, MP:0010768",NA,1,1,"one-to-one"
"FAM20B",9917,"Fam20b","MGI:2443990","MP:0005370, MP:0005371, MP:0005378, MP:0005380, MP:0005381, MP:0005388, MP:0005390, MP:0005391, MP:0010768",NA,1,1,"one-to-one"
"FAM20C",56975,"Fam20c","MGI:2136853","MP:0003631, MP:0005367, MP:0005371, MP:0005376, MP:0005377, MP:0005378, MP:0005379, MP:0005381, MP:0005382, MP:0005384, MP:0005386, MP:0005387, MP:0005389, MP:0005390, MP:0005391, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"FAM210A",125228,"Fam210a","MGI:1914000","MP:0005371, MP:0005376, MP:0005378, MP:0005386, MP:0005387, MP:0005390, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"FAM210B",116151,"Fam210b","MGI:1914267","MP:0005367, MP:0005376, MP:0005378, MP:0005387, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"FAM216A",29902,"Fam216a","MGI:1916198","MP:0005391",NA,1,1,"one-to-one"
"FAM216B",144809,"Fam216b","MGI:2145738","",NA,1,1,"one-to-one"
"FAM217A",222826,"Fam217a","MGI:1919114","",NA,1,1,"one-to-one"
"FAM217B",63939,"Fam217b","MGI:1918782","MP:0005367, MP:0005376, MP:0005391",NA,1,1,"one-to-one"
"FAM219A",203259,"Fam219a","MGI:1919151","MP:0005370, MP:0005378, MP:0005379, MP:0005382, MP:0005387, MP:0005388, MP:0005390, MP:0005397",NA,1,1,"one-to-one"
"FAM219B",57184,"Fam219b","MGI:1925573","",NA,1,1,"one-to-one"
"FAM220A",84792,"Fam220a","MGI:1914488","",NA,1,2,"one-to-many (mouse-to-human)"
"FAM220BP",647044,"Fam220a","MGI:1914488","",NA,1,2,"one-to-many (mouse-to-human)"
"FAM221A",340277,"Fam221a","MGI:2442161","MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005387, MP:0005388, MP:0005389, MP:0005390, MP:0005391, MP:0005397",NA,1,1,"one-to-one"
"FAM221B",392307,"Fam221b","MGI:2441678","",NA,1,1,"one-to-one"
"FAM222A",84915,"Fam222a","MGI:3605543","MP:0005376, MP:0005386, MP:0010771",NA,1,1,"one-to-one"
"FAM222B",55731,"Fam222b","MGI:2384939","",NA,1,1,"one-to-one"
"FAM227A",646851,"Fam227a","MGI:1922979","",NA,1,1,"one-to-one"
"FAM227B",196951,"Fam227b","MGI:1923073","MP:0005369, MP:0005378, MP:0005379, MP:0005381, MP:0005382, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005390, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"FAM228A",653140,"Fam228a","MGI:1922105","",NA,1,1,"one-to-one"
"FAM228B",375190,"Fam228b","MGI:2442121","",NA,1,1,"one-to-one"
"FAM229A",100128071,"Fam229a","MGI:1915483","",NA,1,1,"one-to-one"
"FAM229B",619208,"Fam229b","MGI:1913587","MP:0005387, MP:0005391, MP:0005397",NA,1,1,"one-to-one"
"FAM234A",83986,"Fam234a","MGI:2146854","",NA,1,1,"one-to-one"
"FAM234B",57613,"Fam234b","MGI:1921775","MP:0005376, MP:0005387, MP:0005397",NA,1,1,"one-to-one"
"FAM236A",100129407,"Fam236c","MGI:1916638","",NA,4,4,"many-to-many"
"FAM236A",100129407,"Fam236d","MGI:3782053","",NA,4,4,"many-to-many"
"FAM236A",100129407,"Fam236e","MGI:1922693","",NA,4,4,"many-to-many"
"FAM236A",100129407,"Fam236f","MGI:3645559","",NA,4,4,"many-to-many"
"FAM236B",100132304,"Fam236c","MGI:1916638","",NA,4,4,"many-to-many"
"FAM236B",100132304,"Fam236d","MGI:3782053","",NA,4,4,"many-to-many"
"FAM236B",100132304,"Fam236e","MGI:1922693","",NA,4,4,"many-to-many"
"FAM236B",100132304,"Fam236f","MGI:3645559","",NA,4,4,"many-to-many"
"FAM236C",109729126,"Fam236c","MGI:1916638","",NA,4,4,"many-to-many"
"FAM236C",109729126,"Fam236d","MGI:3782053","",NA,4,4,"many-to-many"
"FAM236C",109729126,"Fam236e","MGI:1922693","",NA,4,4,"many-to-many"
"FAM236C",109729126,"Fam236f","MGI:3645559","",NA,4,4,"many-to-many"
"FAM236D",105373251,"Fam236c","MGI:1916638","",NA,4,4,"many-to-many"
"FAM236D",105373251,"Fam236d","MGI:3782053","",NA,4,4,"many-to-many"
"FAM236D",105373251,"Fam236e","MGI:1922693","",NA,4,4,"many-to-many"
"FAM236D",105373251,"Fam236f","MGI:3645559","",NA,4,4,"many-to-many"
"FAM237A",200726,"Fam237a","MGI:5622538","",NA,1,1,"one-to-one"
"FAM237B",107986818,"Fam237b","MGI:3646213","",NA,1,1,"one-to-one"
"FAM240A",100132146,"Fam240a","MGI:2685436","",NA,1,1,"one-to-one"
"FAM240B",110806297,"Fam240b","MGI:1916130","",NA,1,1,"one-to-one"
"FAM241A",132720,"Fam241a","MGI:1917867","",NA,1,1,"one-to-one"
"FAM241B",219738,"Fam241b","MGI:1917144","",NA,1,1,"one-to-one"
"FAM246A",117134598,"Fam246a","MGI:3045365","",NA,1,3,"one-to-many (mouse-to-human)"
"FAM246B",117134597,"Fam246a","MGI:3045365","",NA,1,3,"one-to-many (mouse-to-human)"
"FAM246C",117134596,"Fam246a","MGI:3045365","",NA,1,3,"one-to-many (mouse-to-human)"
"FAM24A",118670,"Fam24a","MGI:1915473","",NA,2,2,"many-to-many"
"FAM24A",118670,"Fam24b","MGI:1916568","MP:0001186, MP:0005386, MP:0005397, MP:0010771",NA,2,2,"many-to-many"
"FAM24B",196792,"Fam24a","MGI:1915473","",NA,2,2,"many-to-many"
"FAM24B",196792,"Fam24b","MGI:1916568","MP:0001186, MP:0005386, MP:0005397, MP:0010771",NA,2,2,"many-to-many"
"FAM25A",643161,"Fam25a","MGI:1916384","",NA,1,3,"one-to-many (mouse-to-human)"
"FAM25C",644054,"Fam25a","MGI:1916384","",NA,1,3,"one-to-many (mouse-to-human)"
"FAM25G",100133093,"Fam25a","MGI:1916384","",NA,1,3,"one-to-many (mouse-to-human)"
"FAM32A",26017,"Fam32a","MGI:1915172","MP:0003631, MP:0005367, MP:0005378, MP:0005379, MP:0005380, MP:0005391, MP:0010768",NA,1,1,"one-to-one"
"FAM3A",60343,"Fam3a","MGI:1913544","MP:0005376, MP:0005387, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"FAM3B",54097,"Fam3b","MGI:1270150","MP:0005376, MP:0005379, MP:0005386",NA,1,1,"one-to-one"
"FAM3C",10447,"Fam3c","MGI:107892","",NA,1,1,"one-to-one"
"FAM3D",131177,"Fam3d","MGI:1201784","MP:0002006, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005384, MP:0005386, MP:0005387, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"FAM43A",131583,"Fam43a","MGI:2676309","MP:0005386",NA,1,1,"one-to-one"
"FAM43B",163933,"Fam43b","MGI:3651622","",NA,1,1,"one-to-one"
"FAM47A",158724,"Fam47c","MGI:1918114","",NA,1,4,"one-to-many (mouse-to-human)"
"FAM47B",170062,"Fam47c","MGI:1918114","",NA,1,4,"one-to-many (mouse-to-human)"
"FAM47C",442444,"Fam47c","MGI:1918114","",NA,1,4,"one-to-many (mouse-to-human)"
"FAM47DP",139249,"Fam47c","MGI:1918114","",NA,1,4,"one-to-many (mouse-to-human)"
"FAM47E",100129583,"Fam47e","MGI:2686227","",NA,1,2,"one-to-many (mouse-to-human)"
"FAM47E-STBD1",100631383,"Fam47e","MGI:2686227","",NA,1,2,"one-to-many (mouse-to-human)"
"FAM50A",9130,"Fam50a","MGI:1351626","MP:0005379, MP:0005384, MP:0005389",NA,1,1,"one-to-one"
"FAM50B",26240,"Fam50b","MGI:1351640","MP:0005384, MP:0005389",NA,1,1,"one-to-one"
"FAM53A",152877,"Fam53a","MGI:1919225","MP:0003631, MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005387, MP:0005389, MP:0005390, MP:0005391, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"FAM53B",9679,"Fam53b","MGI:1925188","MP:0003631, MP:0005376, MP:0005377, MP:0005385, MP:0005397",NA,1,1,"one-to-one"
"FAM53C",51307,"Fam53c","MGI:1913556","MP:0005386",NA,1,1,"one-to-one"
"FAM72A",729533,"Fam72a","MGI:1919669","MP:0005367, MP:0005376, MP:0005378, MP:0005384, MP:0005387, MP:0005397",NA,1,4,"one-to-many (mouse-to-human)"
"FAM72B",653820,"Fam72a","MGI:1919669","MP:0005367, MP:0005376, MP:0005378, MP:0005384, MP:0005387, MP:0005397",NA,1,4,"one-to-many (mouse-to-human)"
"FAM72C",554282,"Fam72a","MGI:1919669","MP:0005367, MP:0005376, MP:0005378, MP:0005384, MP:0005387, MP:0005397",NA,1,4,"one-to-many (mouse-to-human)"
"FAM72D",728833,"Fam72a","MGI:1919669","MP:0005367, MP:0005376, MP:0005378, MP:0005384, MP:0005387, MP:0005397",NA,1,4,"one-to-many (mouse-to-human)"
"FAM76A",199870,"Fam76a","MGI:2385211","",NA,1,1,"one-to-one"
"FAM76B",143684,"Fam76b","MGI:1920076","MP:0003631, MP:0005376, MP:0005378, MP:0005387, MP:0005397",NA,1,1,"one-to-one"
"FAM78A",286336,"Fam78a","MGI:2443569","",NA,1,1,"one-to-one"
"FAM78B",149297,"Fam78b","MGI:2443050","",NA,1,1,"one-to-one"
"FAM81A",145773,"Fam81a","MGI:1924136","MP:0005378, MP:0005379, MP:0005386, MP:0005387, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"FAM81B",153643,"Fam81b","MGI:2685122","MP:0005375, MP:0005376, MP:0005378",NA,1,1,"one-to-one"
"FAM83A",84985,"Fam83a","MGI:2447773","MP:0005376",NA,1,1,"one-to-one"
"FAM83B",222584,"Fam83b","MGI:2685362","MP:0005367, MP:0005379, MP:0005389, MP:0005391",NA,1,1,"one-to-one"
"FAM83C",128876,"Fam83c","MGI:1918655","MP:0005386",NA,1,1,"one-to-one"
"FAM83D",81610,"Fam83d","MGI:1919128","MP:0003631, MP:0005367, MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"FAM83E",54854,"Fam83e","MGI:1921063","",NA,1,1,"one-to-one"
"FAM83F",113828,"Fam83f","MGI:2146227","",NA,1,1,"one-to-one"
"FAM83G",644815,"Fam83g","MGI:1916890","MP:0005376, MP:0005378, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
