Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM,adult_SL_01,adult_SL_02,adult_SL_03
FBXO38,Fbxo38,one-to-one,NA,NA,Medium,Approved,glandular cells,13.263096895827209,18.8689881654195,12.082999705233,8.83730281682913
FBXO38-DT,NA,human-specific,NA,NA,NA,NA,NA,1.7974516546223047,2.85825798015533,1.62581863864859,0.908278345062994
FBXO39,Fbxo39,one-to-one,NA,NA,NA,NA,NA,0.0215615037403678,0,0,0.0646845112211034
FBXO4,Fbxo4,one-to-one,NA,NA,NA,NA,NA,4.5059229448707905,5.50959987607581,4.31980797708563,3.68836098145093
FBXO40,Fbxo40,one-to-one,NA,NA,NA,NA,NA,0.089773489697951,0.15125725772563,0.0892238918918887,0.0288393194763343
FBXO41,Fbxo41,one-to-one,NA,NA,NA,NA,NA,0.9189890615875997,1.16210189925598,1.28531750871405,0.309547776792769
FBXO42,Fbxo42,one-to-one,NA,NA,Low,Approved,glandular cells,0.1109611953279279,0.08973451574714,0.226854646345545,0.0162944238910987
FBXO42_1,NA,human-specific,NA,NA,NA,NA,NA,0.5149036469790497,0.950667862108556,0.156797486019274,0.437245592809319
FBXO43,Fbxo43,one-to-one,NA,NA,NA,NA,NA,0.14991566460573666,0.124723984588596,0.15327583125306601,0.171747177975548
FBXO44,Fbxo44,one-to-one,NA,NA,High,Approved,glandular cells,4.356295041826944,4.07528166709195,5.5705199789408,3.42308347944808
FBXO45,Fbxo45,one-to-one,Secreted in other tissues,Developmental protein,NA,NA,NA,3.4908232280668936,4.90441769161122,3.16824789545997,2.39980409712949
FBXO46,Fbxo46,one-to-one,NA,NA,NA,NA,NA,4.390815129079024,6.04943805459012,4.7749013837625,2.34810594888445
FBXO47,Fbxo47,one-to-one,NA,NA,NA,NA,NA,0.04889826286185373,0,0.0538554347460729,0.0928393538394883
FBXO48,Fbxo48,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,1.1111253457054384,1.56287502595244,1.06374393929572,0.706757071868155
FBXO5,Fbxo5,one-to-one,NA,NA,Low,Approved,glandular cells,2.009881561947048,3.75146359895387,1.36990274182428,0.908278345062994
FBXO6,Fbxo6,one-to-one,NA,NA,Medium,Approved,glandular cells,3.974343572477897,5.37090960323306,4.02912571124787,2.52299540295276
FBXO7,Fbxo7,one-to-one,NA,NA,Medium,Uncertain,glandular cells,28.449233934045566,35.4966680237456,28.6841272065442,21.1669065718469
FBXO8,Fbxo8,one-to-one,NA,NA,Low,Uncertain,glandular cells,9.559833397468259,10.4342417130597,9.68699640653583,8.55826207280924
FBXO9,Fbxo9,one-to-one,NA,NA,NA,NA,NA,9.647310990516921,11.4886312223393,11.3199890657968,6.13331268341466
FBXW10,Fbxw10,one-to-many (mouse-to-human),NA,NA,NA,NA,NA,0.19646293533875533,0.292218068258692,0.134667263880489,0.162503473877085
FBXW10B,Fbxw10,one-to-many (mouse-to-human),NA,NA,NA,NA,NA,0.25670052255833736,0.39103856837953,0.207008401657263,0.172054597638219
FBXW11,Fbxw11,one-to-one,NA,NA,Not detected,Approved,glandular cells,12.864216524576163,16.205618155387,13.0542848389672,9.33274657937429
FBXW12,Fbxw13 | Fbxw14 | Fbxw15 | Fbxw16 | Fbxw18 | Fbxw19 | Fbxw20 | Fbxw21 | Fbxw22 | Fbxw24 | Fbxw25 | Fbxw26 | Fbxw27 | Fbxw28,one-to-many (human-to-mouse),NA,NA,NA,NA,NA,0.0251797213826721,0,0.0755391641480163,0
FBXW2,Fbxw2,one-to-one,NA,NA,Low,Approved,glandular cells,15.089981175426601,18.229552773027,16.3751517561728,10.66523899708
FBXW4,Fbxw4,one-to-one,NA,NA,Not detected,Approved,glandular cells,17.229068248960633,18.3745155867128,21.3679021079529,11.9447870522162
FBXW4P1,NA,human-specific,NA,NA,NA,NA,NA,1.9545078347111566,2.41273228338257,2.42852171223873,1.02226950851217
FBXW5,Fbxw5,one-to-one,NA,NA,Medium,Approved,glandular cells,55.301022392785264,70.1378018073029,60.2042428835491,35.5610224875038
FBXW7,Fbxw7,one-to-one,NA,NA,Medium,Supported,glandular cells,8.942091602302417,10.9410560213793,9.29424734357303,6.59097144195492
FBXW7-AS1,NA,human-specific,NA,NA,NA,NA,NA,1.0855479205083538,1.71006887701601,1.08079111781008,0.465783766698971
FBXW8,Fbxw8,one-to-one,NA,NA,Medium,Supported,glandular cells,11.93099564804561,14.4640785072213,13.0077468434952,8.32116159342033
FBXW9,Fbxw9,one-to-one,NA,NA,Medium,Approved,glandular cells,3.6526882365170237,4.56791663302184,4.686140063788,1.70400801274123
FCAMR,Fcamr,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.36256032312596703,0.456752873249254,0.224525143437108,0.406402952691539
FCAR,NA,human-specific,Intracellular and membrane,Receptor,Not detected,Approved,glandular cells,0,0,0,0
FCAR_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
FCAR_10,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
FCAR_11,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
FCAR_2,NA,human-specific,NA,NA,NA,NA,NA,0.0206596167701867,0.0619788503105601,0,0
FCAR_3,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
FCAR_4,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
FCAR_5,NA,human-specific,NA,NA,NA,NA,NA,0.07721226324680613,0.18593655093168,0.0457002388087384,0
FCAR_6,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
FCAR_7,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
FCAR_8,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
FCAR_9,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
FCER1A,Fcer1a,one-to-one,NA,NA,Not detected,Approved,glandular cells,0.14603303650301616,0.351665370080628,0.0864337394284205,0
FCER1A_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
FCER1G,Fcer1g,one-to-one,NA,NA,Low,Supported,glandular cells,13.095906538120067,30.8110521250642,6.53695441339876,1.93971307589724
FCER2,Fcer2a,one-to-one,Secreted to blood,Receptor,Not detected,Enhanced,glandular cells,1.0313112158951796,2.44251136486001,0.651422282825529,0
FCF1,Fcf1,one-to-one,NA,NA,Not detected,Approved,glandular cells,5.674511566552137,7.69780842382742,5.28801617823077,4.03771009759822
FCF1P2,NA,human-specific,NA,NA,NA,NA,NA,3.791370802965437,5.94109337303715,2.98066750418908,2.45235153167008
FCGBP,Fcgbp | Fcgbpl1,one-to-many (human-to-mouse),Secreted in other tissues,NA,Low,Enhanced,glandular cells,24.337490024564804,30.593649581887,39.6629876449356,2.75583284687182
FCGBP_1,NA,human-specific,NA,NA,NA,NA,NA,86.73964953226105,102.494662696185,151.846070774078,5.87821512652016
FCGR1A,Fcgr1,one-to-many (mouse-to-human),NA,NA,NA,NA,NA,1.4834428864091143,3.66182517030576,0.347734314675549,0.440769174246034
FCGR1BP,Fcgr1,one-to-many (mouse-to-human),NA,NA,NA,NA,NA,0.24273755680810924,0.448002818206165,0.242246285026397,0.0379635671917657
FCGR1CP,NA,human-specific,NA,NA,NA,NA,NA,0.7486345039942409,1.79845445942358,0.284163057941077,0.163285994618066
FCGR2A,Fcgr2b | Fcgr3,many-to-many,NA,NA,Not detected,Supported,glandular cells,7.835764299352083,19.5784346414701,2.76542960318601,1.16342865340014
FCGR2B,Fcgr2b | Fcgr3,many-to-many,NA,NA,Low,Enhanced,glandular cells,1.8631750492856052,4.00489858770722,1.10738272579623,0.477243834353366
FCGR2C,Fcgr2b | Fcgr3,many-to-many,NA,NA,NA,NA,NA,2.2877288392610917,4.41145926197607,1.57557451137345,0.876152744433756
FCGR3A,Fcgr4,one-to-many (mouse-to-human),Secreted to blood,Receptor,Not detected,Supported,glandular cells,5.4455622800936725,12.6326067696257,2.54419019867597,1.15988987197935
FCGR3B,Fcgr4,one-to-many (mouse-to-human),Secreted to blood,Receptor,NA,NA,NA,0.9400991369238888,1.99088437721614,0.540835799686225,0.288577233869302
FCGRT,Fcgrt,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,60.6769526756025,79.9596502995005,63.7425537756013,38.3286539517057
FCHO1,Fcho1,one-to-one,NA,NA,Medium,Approved,glandular cells,0.718299750443689,1.19687771850971,0.740686734401498,0.217334798419859
FCHO2,Fcho2,one-to-one,NA,NA,Medium,Enhanced,glandular cells,11.140089683841689,15.802162130004,9.96545325585535,7.65265366566572
FCHO2-DT,NA,human-specific,NA,NA,NA,NA,NA,0.25414407644484766,0.429773336537185,0.211262863756082,0.121396029041276
FCHSD1,Fchsd1,one-to-one,NA,NA,Medium,Approved,glandular cells,4.091441295463276,4.93783235702135,5.39558220735598,1.9409093220125
FCHSD2,Fchsd2,one-to-one,NA,NA,NA,NA,NA,3.532331587661293,5.49035007649409,3.17037222595435,1.93627246053544
FCMR,Fcmr,one-to-one,Secreted to blood,Immunity,Low,Approved,glandular cells,1.420491131353858,3.08901473570985,0.87447090924775,0.297987749103974
FCN1,Fcnb,one-to-many (mouse-to-human),Secreted to blood,Immunity,Not detected,Enhanced,glandular cells,0.6468218094613708,1.25434885001545,0.5999330769921,0.0861835013765624
FCN2,Fcnb,one-to-many (mouse-to-human),Secreted to blood,Immunity,NA,NA,NA,3.41596311458669,2.49329710026192,6.51446504669912,1.24012719679903
FCN3,NA,human-specific,Secreted to blood,Immunity,Not detected,Approved,glandular cells,1.0604354539277243,2.74193352747459,0.122531551147073,0.31684128316151
FCRL1,Fcrl1,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.48000357863621085,1.09272560683164,0.287758421590614,0.0595267074863786
FCRL2,Fcrl2,one-to-one,NA,NA,NA,NA,NA,1.0015862825623023,1.61670864722346,0.894062703148548,0.493987497314899
FCRL3,Fcrl5,one-to-many (mouse-to-human),NA,NA,Not detected,Enhanced,glandular cells,0.42625513849162694,0.974201120945011,0.212838309755993,0.091725984773877
FCRL4,NA,human-specific,NA,NA,Not detected,Approved,glandular cells,0.012161238775127833,0,0.0364837163253835,0
FCRL5,Fcrl5,one-to-many (mouse-to-human),Secreted to blood,Receptor,NA,NA,NA,4.899298068472699,7.6349972256751,4.14305576254191,2.91984121720109
FCRL6,Fcrl6,one-to-one,NA,NA,NA,NA,NA,0.2416409726383731,0.580497268696924,0.0917209096594143,0.0527047395587811
FCRLA,Fcrla,one-to-one,Intracellular and membrane,Other,Not detected,Enhanced,glandular cells,1.206304420550172,2.93154664631316,0.480351607915591,0.207015007421765
FCRLB,Fcrlb,one-to-one,Intracellular and membrane,No annotated function,NA,NA,NA,0.20081948567551355,0.42365483895583,0.12495312330413,0.0538504947665807
FCSK,Fcsk,one-to-one,NA,NA,Medium,Approved,glandular cells,6.56730584401343,8.47162206557428,7.58974289833535,3.64055256813066
FDCSP,NA,human-specific,Secreted in other tissues,No annotated function,Medium,Enhanced,glandular cells,679.2091069077943,1221.36205035058,506.919476124448,309.345794248355
FDFT1,Fdft1,one-to-one,NA,NA,Medium,Approved,glandular cells,4.727116747564673,6.31499597059589,2.92164761377685,4.94470665832128
FDFT1_1,NA,human-specific,NA,NA,NA,NA,NA,12.293987414114932,12.2969161112973,14.3398240175387,10.2452221135088
FDPS,Fdps,one-to-one,NA,NA,Not detected,Approved,glandular cells,16.9298763430429,18.574935695643,19.6961449388347,12.518548394651
FDPSP2,NA,human-specific,NA,NA,NA,NA,NA,3.053092408401714,3.59792763211683,4.62043084975865,0.940918743329663
FDX1,Fdx1,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,10.894004456450967,13.2127871264522,11.5192812712726,7.9499449716281
FDX2,Fdx2,one-to-one,NA,NA,Medium,Approved,glandular cells,0,0,0,0
FDX2-ZGLP1,NA,human-specific,NA,NA,NA,NA,NA,0.04126106211878894,0.0726675757666609,0.0357210623682992,0.0153945482214067
FDXACB1,Fdxacb1,one-to-one,NA,NA,NA,NA,NA,1.038588953469448,1.54556127261463,0.843320971340993,0.726884616452721
FDXR,Fdxr,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,1.3226313455916723,2.23412224255317,0.967482371588055,0.766289422633792
FECH,Fech,one-to-one,NA,NA,Medium,Approved,glandular cells,3.9122276567043497,4.93622652323103,4.21400691878911,2.58644952809291
FEM1A,Fem1a | Fem1al,one-to-many (human-to-mouse),NA,NA,NA,NA,NA,5.410877580558033,6.88498620377039,5.93160596967937,3.41604056822434
FEM1B,Fem1b,one-to-one,NA,NA,Medium,Approved,glandular cells,18.54885380465453,25.9142882497851,18.1829514739947,11.5493216901838
FEM1C,Fem1c,one-to-one,NA,NA,Medium,Approved,glandular cells,10.57050409682701,15.0664362197761,10.1881210110154,6.45695505968953
FEN1,Fen1,one-to-one,NA,NA,Medium,Enhanced,glandular cells,4.4152357967001965,8.16645137187237,2.916688529983,2.16256748824522
FENDRR,Fendrr,one-to-one,NA,NA,NA,NA,NA,0.2641435626752153,0.184701646536693,0.36317375202665,0.244555289462303
FER,Fer,one-to-one,NA,NA,Medium,Approved,glandular cells,3.99297577122799,5.5491015263653,3.95093900971217,2.4788867776065
FER1L4,Fer1l4,one-to-one,NA,NA,NA,NA,NA,4.102426095991573,7.77435957978828,3.33215769818802,1.20076100999842
FER1L5,Fer1l5,one-to-one,NA,NA,NA,NA,NA,0.22114355037982766,0.361490779883253,0.180310533045686,0.121629338210544
FER1L6,Fer1l6,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.06573663797743327,0.0824022096911973,0.0729113362197459,0.0418963680213566
FER1L6-AS1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
FER1L6-AS2,NA,human-specific,NA,NA,NA,NA,NA,0.06540636110195266,0.196219083305858,0,0
FERD3L,Ferd3l,one-to-one,NA,NA,NA,NA,NA,0,0,0,0
FERMT1,Fermt1,one-to-one,NA,NA,Low,Approved,glandular cells,2.26155587422558,2.39179789346887,2.89545830270935,1.49741142649852
FERMT2,Fermt2,one-to-one,NA,NA,Medium,Uncertain,glandular cells,21.237133838880634,32.0697962301097,20.0248478244762,11.616757462056
FERMT3,Fermt3,one-to-one,NA,NA,NA,NA,NA,5.41439081223218,10.5340478208753,4.13385866292465,1.57526595289659
FERRY3,D6Wsu163e,one-to-one,NA,NA,NA,NA,NA,6.486244134963091,10.4296385134963,5.18940051671381,3.83969337467916
FES,Fes,one-to-one,NA,NA,Medium,Approved,glandular cells,18.756036635883035,20.0686198606651,24.6994886776827,11.5000013693013
FETUB,Fetub,one-to-one,Secreted to blood,Enzyme inhibitor,Not detected,Supported,glandular cells,0,0,0,0
FEV,Fev,one-to-one,NA,NA,NA,NA,NA,0.023515296959559732,0,0,0.0705458908786792
FEZ1,Fez1,one-to-one,NA,NA,Not detected,Approved,glandular cells,0.8057938727914556,0.966516827707708,0.983676056263722,0.467188734402937
FEZ2,Fez2,one-to-one,NA,NA,Medium,Uncertain,glandular cells,13.978038821183318,21.0855096896705,13.5963939511971,7.25221282268235
FEZF1,Fezf1,one-to-one,NA,NA,Not detected,Approved,glandular cells,0.11663295948268833,0.115329844525434,0.106298386670964,0.128270647251667
FEZF1-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.4388930894794563,0.323210476459329,0.500471876452952,0.492996915526088
FEZF2,Fezf2,one-to-one,NA,NA,NA,NA,NA,0.0270668369332891,0.0812005107998673,0,0
FFAR1,Ffar1,one-to-one,NA,NA,NA,NA,NA,0.0051067678759251995,0.0153203036277756,0,0
FFAR2,Ffar2,one-to-one,NA,NA,Not detected,Approved,glandular cells,0.36695416019719435,0.431560438350979,0.416123409470431,0.253178632770173
FFAR3,Ffar3,one-to-many (mouse-to-human),NA,NA,Low,Uncertain,glandular cells,0.06776334708760866,0.203290041262826,0,0
FFAR4,Ffar4,one-to-one,NA,NA,NA,NA,NA,0.035721181233139034,0.0322178243113507,0.0237558821686604,0.051189837219406
FGA,Fga,one-to-one,Secreted to blood,Blood coagulation,Not detected,Supported,glandular cells,0.014594117846082867,0.0437823535382486,0,0
FGB,Fgb,one-to-one,Secreted to blood,Blood coagulation,Not detected,Enhanced,glandular cells,0.0197881992388452,0,0,0.0593645977165356
FGD1,Fgd1,one-to-one,NA,NA,Medium,Approved,glandular cells,1.3233874388045475,1.71771893350343,1.86345012437529,0.388993258534923
FGD2,Fgd2,one-to-one,NA,NA,Not detected,Approved,glandular cells,3.391884597337271,6.96073460605002,2.29730370087511,0.917615485086683
FGD3,Fgd3,one-to-one,NA,NA,Not detected,Approved,glandular cells,2.4755484789625197,3.92078271108882,2.44999794853615,1.05586477726259
FGD4,Fgd4,one-to-one,NA,NA,Medium,Approved,glandular cells,13.786257961960667,18.6955734036599,13.8780901879196,8.7851102943025
FGD5,Fgd5,one-to-one,NA,NA,Medium,Uncertain,glandular cells,5.298119108713633,8.93645404923011,4.9186372732243004,2.03926600368649
FGD5-AS1,NA,human-specific,NA,NA,NA,NA,NA,25.487954055562266,32.2900256401654,28.1695531044934,16.004283422028
FGD5P1,NA,human-specific,NA,NA,NA,NA,NA,0.08751617685055492,0.101657071019158,0.112435590501286,0.0484558690312208
FGD6,Fgd6,one-to-one,NA,NA,Medium,Approved,glandular cells,1.948989620957444,3.56243971695175,1.59239582517513,0.692133320745453
FGF1,Fgf1,one-to-one,Secreted in other tissues,Growth factor,Not detected,Enhanced,glandular cells,1.7320172376800969,2.19820907005383,1.88019086481214,1.11765177817432
FGF10,Fgf10,one-to-one,Secreted in other tissues,Growth factor,NA,NA,NA,2.8974361008328864,3.26831723888202,3.32007786778939,2.10391319582725
FGF10-AS1,NA,human-specific,NA,NA,NA,NA,NA,1.0349175811269513,1.13183394145538,1.36867872020458,0.604240081720894
FGF11,Fgf11,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0,0,0,0
FGF11_1,NA,human-specific,NA,NA,NA,NA,NA,0.04912043985843497,0.059547041253236,0.0878142783220689,0
FGF12,Fgf12,one-to-one,NA,NA,NA,NA,NA,3.1287833263860705,3.42766192901983,4.77304554465641,1.18564250548197
FGF12-AS1,NA,human-specific,NA,NA,NA,NA,NA,1.475118498392377,1.47840930008034,2.28922739349945,0.657718801597341
FGF12-AS2,NA,human-specific,NA,NA,NA,NA,NA,0.17123450551327535,0.295681860016069,0.218021656523757,0
FGF12-AS3,NA,human-specific,NA,NA,NA,NA,NA,0.2172724412092427,0,0.651817323627728,0
FGF13,Fgf13,one-to-one,NA,NA,NA,NA,NA,1.0026507919851193,0.876438810622568,1.06568128621219,1.0658322791206
FGF13-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.8829569384592237,0.614679135517275,1.05754829807223,0.976643381788166
FGF14,Fgf14,one-to-one,NA,NA,NA,NA,NA,0.317467754184241,0.513989027691484,0.326013691998142,0.112400542863097
FGF14-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.5656401735239497,0.24154292790045,0.534306594861039,0.92107099781036
FGF14-AS2,NA,human-specific,NA,NA,NA,NA,NA,0.60063289519127006,0.0760174994722162,0.952878339239471,0.773002846862123
FGF14-IT1,NA,human-specific,NA,NA,NA,NA,NA,0.23461564642311972,0.322057237200601,0.356204396574026,0.0255853054947322
FGF16,Fgf16,one-to-one,Secreted in other tissues,Growth factor,NA,NA,NA,0.38252671826246604,0.772038470029951,0.113852845843739,0.261688838913708
FGF17,Fgf17,one-to-one,Secreted in brain,Growth factor,Not detected,Uncertain,glandular cells,0.29241821244864635,0.346665613117687,0.332299027731783,0.198289996496469
FGF18,Fgf18,one-to-one,Secreted in other tissues,Growth factor,NA,NA,NA,0.7709528571327247,0.987086089242832,1.1075674743324,0.218205007822942
FGF19,Fgf15,one-to-one,Secreted to blood,Growth factor,Medium,Approved,glandular cells,0,0,0,0
FGF2,Fgf2,one-to-one,Secreted in other tissues,Growth factor,Not detected,Enhanced,glandular cells,2.48651460314702,3.78243226310807,2.54727258158767,1.12983896474532
FGF20,Fgf20,one-to-one,Secreted in other tissues,Growth factor,NA,NA,NA,0.20812834473224232,0.279612193710848,0.137448435634543,0.207324404851336
FGF21,Fgf21,one-to-one,Secreted to blood,Growth factor,Not detected,Supported,glandular cells,0.013485944247408966,0,0,0.0404578327422269
FGF22,Fgf22,one-to-one,Secreted in other tissues,Growth factor,NA,NA,NA,0.059053414143802,0,0.0951486537123997,0.0820115887190063
FGF23,Fgf23,one-to-one,Secreted to blood,Growth factor,NA,NA,NA,0.057127074886515666,0.171381224659547,0,0
FGF3,Fgf3,one-to-one,Secreted in brain,Growth factor,Not detected,Enhanced,glandular cells,0.011795822663155766,0,0,0.0353874679894673
FGF4,Fgf4,one-to-one,Secreted in other tissues,Growth factor,NA,NA,NA,0.011479031217225833,0,0,0.0344370936516775
FGF5,Fgf5,one-to-one,Secreted in brain,Growth factor,NA,NA,NA,0.0251165024618219,0.0753495073854657,0,0
FGF6,Fgf6,one-to-one,Secreted in other tissues,Growth factor,NA,NA,NA,0.004355206641395334,0,0,0.013065619924186
FGF7,Fgf7,one-to-one,Secreted in other tissues,Growth factor,Not detected,Uncertain,glandular cells,4.211832283012864,8.04136853278055,2.93495419221889,1.65917412403915
FGF7P3,NA,human-specific,NA,NA,NA,NA,NA,0.965931527422002,1.34806303716695,0.993997184831067,0.555734360267989
FGF7P6,NA,human-specific,NA,NA,NA,NA,NA,0.06630471351958467,0,0.198914140558754,0
FGF8,Fgf8,one-to-one,Secreted in other tissues,Growth factor,NA,NA,NA,0.04598966983355333,0.13796900950066,0,0
FGF9,Fgf9,one-to-one,Secreted in other tissues,Growth factor,Not detected,Enhanced,glandular cells,0.3726594546622757,0.189936595539923,0.522005134125549,0.406036634321355
FGFBP1,Fgfbp1,one-to-one,Secreted in other tissues,Other,Not detected,Enhanced,glandular cells,0.5803799387240689,1.33286641561648,0.327597307729998,0.0806760928257286
FGFBP2,NA,human-specific,Secreted to blood,Other,NA,NA,NA,0.43075786532544896,0.465598585002678,0.629401886254105,0.197273124719564
FGFBP3,Fgfbp3,one-to-one,Secreted in brain,Other,NA,NA,NA,0.5148211562368546,0.470218704138362,0.668668065249126,0.405576699323076
FGFR1,Fgfr1,one-to-one,NA,NA,Medium,Approved,glandular cells,11.158031902072858,17.3704436967285,11.7187552148233,4.38489679466678
FGFR1OP2,Fgfr1op2,one-to-one,NA,NA,High,Supported,glandular cells,15.511866036139162,22.8473518413726,14.0732800872291,9.61496617981579
FGFR2,Fgfr2,one-to-one,Secreted - unknown location,Receptor,Not detected,Uncertain,glandular cells,48.6131642725241,47.2784924973322,62.2495110362293,36.3114892840108
FGFR3,Fgfr3,one-to-one,Secreted - unknown location,Receptor,Not detected,Enhanced,glandular cells,1.5351139922152381,1.86160355818712,1.94693242677728,0.796805991681315
FGFR4,Fgfr4,one-to-one,Intracellular and membrane,Receptor,Not detected,Approved,glandular cells,0.14364130545858084,0.162452300735068,0.199640923245626,0.0688306923950485
FGFRL1,Fgfrl1,one-to-one,NA,NA,Low,Approved,glandular cells,10.863895015269554,9.92552596142621,16.59966521374,6.06649387064245
FGG,Fgg,one-to-one,Secreted to blood,Blood coagulation,Not detected,Supported,glandular cells,0,0,0,0
FGGY,Fggy,one-to-one,NA,NA,NA,NA,NA,1.3712513403187732,1.45299349029029,1.50525518414645,1.15550534651958
FGGY-DT,NA,human-specific,NA,NA,NA,NA,NA,0.2954617060912637,0.433198089117153,0.291235466886862,0.161951562269776
FGL1,Fgl1,one-to-one,Secreted to blood,Immunity,NA,NA,NA,0.011659542298626367,0,0,0.0349786268958791
FGL2,Fgl2,one-to-one,Secreted to blood,No annotated function,Not detected,Enhanced,glandular cells,16.20146954947138,23.3106519011258,18.6737392980745,6.62001744921383
FGR,Fgr,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,2.7873705770264774,6.846012069208,1.31500482532612,0.201094836545312
FH,Fh1,one-to-one,NA,NA,Medium,Enhanced,glandular cells,33.572438474346704,38.5888765830016,32.7957646477194,29.3326741923191
FHAD1,Fhad1,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.2465054186870461,0.573113861851428,0.130428006419444,0.0359743877902663
FHAD1-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.16547854705057174,0.385754611717622,0.0406338562929882,0.070047173141105007
FHDC1,Fhdc1,one-to-one,NA,NA,NA,NA,NA,1.9964778704097286,2.39809030534194,2.7546719672815,0.836671338605746
FHIP1A,Fhip1a,one-to-one,NA,NA,Low,Enhanced,glandular cells,10.191620957052463,13.0396044985081,11.3009374673058,6.23432090534349
FHIP1A-DT,NA,human-specific,NA,NA,NA,NA,NA,1.3996261092226934,1.32309381221898,1.90965784506036,0.96612667038874
FHIP1B,Fhip1b,one-to-one,NA,NA,Medium,Approved,glandular cells,5.964024106584053,7.59314275539761,6.7154165546496,3.58351300970495
FHIP2A,Fhip2a,one-to-one,NA,NA,Medium,Uncertain,glandular cells,10.045476372932521,14.3543706310891,10.1604436202759,5.62161486743256
FHIP2B,Fhip2b,one-to-one,NA,NA,Medium,Approved,glandular cells,12.067706250327939,15.402601691426,15.3062992774329,5.49421778212492
FHIT,Fhit,one-to-one,NA,NA,Medium,Enhanced,glandular cells,1.5307619728446167,2.12197734272024,1.32674539172561,1.143563184088
FHL1,Fhl1,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,14.101873016203477,18.3686712751395,19.5168909415804,4.42005683189053
FHL1P1,NA,human-specific,NA,NA,NA,NA,NA,0.15348317039104734,0.146744562586412,0.189354233917524,0.124350714669206
FHL2,Fhl2,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,6.11062575203893,9.06289558972385,6.16674018325537,3.10224148313757
FHL3,Fhl3,one-to-one,NA,NA,NA,NA,NA,5.338551796166026,10.0453269592416,4.39071391610345,1.57961451315303
FHL5,Fhl5,one-to-one,NA,NA,NA,NA,NA,1.498696456222086,4.043356132918,0.2710343050855,0.181698930662757
FHOD1,Fhod1,one-to-one,NA,NA,Not detected,Approved,glandular cells,5.359062063310856,8.73385486842662,5.30143966181541,2.04189165969054
FHOD3,Fhod3,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,2.22318631510847,2.48041672305859,2.74832742916534,1.44081479310148
FIBCD1,Fibcd1,one-to-one,NA,NA,Low,Approved,glandular cells,0.07723232093865738,0.0891966776054021,0.14250028521057,0
FIBCD1-AS1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
FIBIN,Fibin,one-to-one,Intracellular and membrane,No annotated function,Low,Uncertain,glandular cells,2.871592882207954,5.6185514730876,2.33699289082925,0.659234282707012
FIBP,Fibp,one-to-one,NA,NA,Medium,Approved,glandular cells,16.423846497510567,19.6686203988981,17.339189774621,12.2637293190126
FICD,Ficd,one-to-one,Intracellular and membrane,Enzyme,Not detected,Approved,glandular cells,9.188420638200876,11.1169112223553,7.69204517210086,8.75630552014647
FIG4,Fig4,one-to-one,NA,NA,Medium,Approved,glandular cells,10.807244848880943,12.3515984477851,11.6391592609095,8.43097683794823
FIGLA,Figla,one-to-one,NA,NA,Not detected,Supported,glandular cells,0.12949625125432998,0.237528364001828,0,0.150960389761162
FIGN,Fign,one-to-one,NA,NA,Medium,Approved,glandular cells,5.105368601339216,5.77897559553513,5.99787751292407,3.53925269555845
FIGNL1,Fignl1,one-to-one,NA,NA,Medium,Approved,glandular cells,2.9472146312200436,4.40594038624852,2.47895032489868,1.95675318251293
FIGNL2,Fignl2,one-to-one,NA,NA,NA,NA,NA,1.0202444304957679,1.18401675050039,1.40145461624465,0.475261924742264
FIGNL2-DT,NA,human-specific,NA,NA,NA,NA,NA,0.09871394284448033,0,0.296141828533441,0
FILIP1,Filip1,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,1.494869044496684,2.54385855958669,1.27469676335889,0.666051810544471
